shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
Z5256039149,Z5256039149,C20H16ClN3O2,Racemic diastereomer with known relative stereochemistry,365.812,100,COVID-19,,,0,40,20,1178796-Y40-81,03_A,"C[C@@H]1NC(=O)C=2C=CC(Cl)=CC2[C@@H]1C(=O)NC=3C=NC=C4C=CC=CC34 |&1:1,12,r|","rac-(3R,4R)-6-chloro-N-(isoquinolin-4-yl)-3-methyl-1-oxo-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3381526,5.4
EDJ-MED-12c4873b-5-1,Z5352411776,C23H21ClN4O2,Racemic diastereomer with known relative stereochemistry,420.891,93,COVID-19,,,0,40,20,1178796-Y40-81,03_B,"ClC=1C=CC=2CN(C[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)[C@@H]5CCNC5=O |&1:8,24,r|","rac-(4R)-6-chloro-N-(isoquinolin-4-yl)-2-[(3S)-2-oxopyrrolidin-3-yl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3428034,7
EDJ-MED-7889e8da-6,Z5210381227,C25H23ClN4O5S2,Racemic or presumed racemic or meso,559.056,98.72,COVID-19,,,0,40,20,1178796-Y40-81,03_C,CS(=O)(=O)C=1C=CC=2C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(CC5)C#N)=CN=CC2C1,"6-chloro-2-[(1-cyanocyclopropyl)methanesulfonyl]-N-(7-methanesulfonylisoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3521242,43.2
EDJ-MED-2791eece-12,Z5278655719,C21H19ClN4O2,Racemic or presumed racemic or meso,394.854,95.73,COVID-19,,,0,40,20,1178796-Y40-81,03_D,CNC(=O)N1CCC=2C=CC(Cl)=CC2C1C(=O)NC=3C=NC=C4C=CC=CC34,"7-chloro-N1-(isoquinolin-4-yl)-N2-methyl-1,2,3,4-tetrahydroisoquinoline-1,2-dicarboxamide",H3490138,31.1
Z5338006060,Z5338006060,C24H22ClN5O3S,Single unknown enantiomer,495.981,100,COVID-19,,,0,40,20,1178796-Y40-81,03_E,"ClC=1C=CC=2CN(C[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CNC5)C#N |o1:8,r|","rel-(4R)-6-chloro-2-[(3-cyanoazetidin-3-yl)methanesulfonyl]-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3512774,5.9
Z5338006057,Z5338006057,C24H22ClN5O3S,Single unknown enantiomer,495.981,100,COVID-19,,,0,40,20,1178796-Y40-81,03_F,"ClC=1C=CC=2CN(C[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CNC5)C#N |o1:8,r|","rel-(4R)-6-chloro-2-[(3-cyanoazetidin-3-yl)methanesulfonyl]-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3512775,7
EDJ-MED-c3ea9889-5,Z5335933734,C21H17ClN2O4S,Diastereomeric mixture,428.888,100,COVID-19,,,0,40,20,1178796-Y40-81,03_G,CS(=O)(=O)C=1C=CC=2C(NC(=O)C3(CC4C3)C=5C=C(Cl)C=CC5O4)=CN=CC2C1,"4-chloro-N-(7-methanesulfonylisoquinolin-4-yl)-8-oxatricyclo[7.1.1.0?,?]undeca-2(7),3,5-triene-1-carboxamide",H3517546,66.5
EDJ-MED-c3ea9889-8,Z5335933739,C20H14Cl2N2O2,Diastereomeric mixture,385.243,100,COVID-19,,,0,40,20,1178796-Y40-81,03_H,ClC=1C=CC=2OC3CC(C3)(C(=O)NC=4C=NC=C5C=CC=C(Cl)C45)C2C1,"4-chloro-N-(5-chloroisoquinolin-4-yl)-8-oxatricyclo[7.1.1.0?,?]undeca-2(7),3,5-triene-1-carboxamide",H3517538,68.7
EDJ-MED-e69ed63d-12,Z5335933832,C26H27ClN4O5S,Racemic or presumed racemic or meso,543.034,100,COVID-19,,,0,40,20,1178796-Y40-81,03_I,CC(C)(C)NC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(C=CC23)S(=O)(=O)C)C=4C=C(Cl)C=CC4C1=O,"2-[(tert-butylcarbamoyl)methyl]-6-chloro-N-(7-methanesulfonylisoquinolin-4-yl)-1-oxo-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3513033,57.9
EDJ-MED-e69ed63d-11,Z5335933827,C25H24ClFN4O3,Racemic or presumed racemic or meso,482.934,100,COVID-19,,,0,40,20,1178796-Y40-81,03_J,CC(C)(C)NC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(F)C=CC23)C=4C=C(Cl)C=CC4C1=O,"2-[(tert-butylcarbamoyl)methyl]-6-chloro-N-(7-fluoroisoquinolin-4-yl)-1-oxo-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3512353,80.5
EDJ-MED-1b46f08e-1,Z5335933775,C22H22ClN3O5S,Racemic or presumed racemic or meso,475.945,100,COVID-19,,,0,40,20,1178796-Y40-81,03_K,COC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=C(C=CC34)S(=O)(=O)N(C)C,"6-chloro-N-[7-(dimethylsulfamoyl)isoquinolin-4-yl]-4-methoxy-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3523420,48.9
EDJ-MED-e69ed63d-4,Z5335933793,C25H23ClN4O5S,Racemic or presumed racemic or meso,526.991,100,COVID-19,,,0,40,20,1178796-Y40-81,03_L,CS(=O)(=O)C=1C=CC=2C(NC(=O)C3CN(CC(=O)NC4CC4)C(=O)C=5C=CC(Cl)=CC35)=CN=CC2C1,"6-chloro-2-[(cyclopropylcarbamoyl)methyl]-N-(7-methanesulfonylisoquinolin-4-yl)-1-oxo-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3515849,31.7
EDJ-MED-e69ed63d-7,Z5335933813,C23H20ClFN4O3,Racemic or presumed racemic or meso,454.881,100,COVID-19,,,0,40,20,1178796-Y40-81,03_M,CCNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(F)C=CC23)C=4C=C(Cl)C=CC4C1=O,"6-chloro-2-[(ethylcarbamoyl)methyl]-N-(7-fluoroisoquinolin-4-yl)-1-oxo-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3517544,87.6
