shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
MAT-POS-853c0ffa-16,Z5489567285,C27H28ClN3O6S2,Racemic or presumed racemic or meso,590.110,100,COVID-19,,,0,4,100,1181202-Y4-79,05_A,COC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=C(C=CC56)S(=O)(=O)C)C2)CC1,"6-chloro-1'-(7-methanesulfonylisoquinolin-4-yl)-2-[(1-methoxycyclopropyl)methanesulfonyl]-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3688301,3
MAT-POS-853c0ffa-13,Z5461592540,C26H22ClFN4O3S,Racemic or presumed racemic or meso,524.994,100,COVID-19,,,0,4,100,1181202-Y4-79,05_B,FC=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,"1-({[6-chloro-1'-(6-fluoroisoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopropane-1-carbonitrile",T8792596,20
ALP-POS-ecbed2ba-11,Z5461592478,C28H27ClN4O4S,Racemic or presumed racemic or meso,551.056,97.98,COVID-19,,,0,4,100,1181202-Y4-79,05_C,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CCOCC6)C#N,"4-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)oxane-4-carbonitrile",H3698562,33.3
ALP-POS-ecbed2ba-8,Z5461592462,C27H25ClN4O3S,Racemic or presumed racemic or meso,521.030,98.69,COVID-19,,,0,4,100,1181202-Y4-79,05_D,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CCC6)C#N,"1-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclobutane-1-carbonitrile",H3698563,6
ALP-POS-ecbed2ba-6,Z5590184150,C26H26ClN3O4S,Racemic or presumed racemic or meso,512.020,96.12,COVID-19,,,0,4,100,1181202-Y4-79,05_E,COC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)CC1,"6-chloro-1'-(isoquinolin-4-yl)-2-[(1-methoxycyclopropyl)methanesulfonyl]-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3698564,19.7
ALP-POS-ecbed2ba-5,Z5461592464,C25H24ClN3O5S2,Racemic or presumed racemic or meso,546.058,100,COVID-19,,,0,4,100,1181202-Y4-79,05_F,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6CS(=O)(=O)C6,"3-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)-1??-thietane-1,1-dione",H3699969,21.1
ALP-POS-ecbed2ba-3,Z5461592453,C26H26ClN3O3S,Racemic or presumed racemic or meso,496.020,96.79,COVID-19,,,0,4,100,1181202-Y4-79,05_G,CC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)CC1,"6-chloro-1'-(isoquinolin-4-yl)-2-[(1-methylcyclopropyl)methanesulfonyl]-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3699970,10
EDJ-MED-976a33d5-2,Z5489567288,C27H25ClN4O5S,Racemic or presumed racemic or meso,553.029,100,COVID-19,,,0,4,100,1181202-Y4-79,05_H,CNC(=O)C1(CC1)N2CC3(CCN(C3=O)C=4C=NC=C5C=C(C=CC45)S(=O)(=O)C)C=6C=C(Cl)C=CC6C2=O,"1-[6-chloro-1'-(7-methanesulfonylisoquinolin-4-yl)-1,2'-dioxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylcyclopropane-1-carboxamide",H3699780,45.4
EDG-MED-b1ef7fe3-1,Z5442718009,C24H20Cl2N4O3,Racemic or presumed racemic or meso,483.346,100,COVID-19,,,0,4,100,1181202-Y4-79,05_I,CNC(=O)CN1CC2(CCN(C2=O)C=3C=NC=C4C=CC(Cl)=CC34)C=5C=C(Cl)C=CC5C1=O,"2-[6-chloro-1'-(6-chloroisoquinolin-4-yl)-1,2'-dioxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylacetamide",H3703613,22.9
MAT-POS-853c0ffa-1,Z5442718022,C24H20Cl2N4O3,Racemic or presumed racemic or meso,483.346,100,COVID-19,,,0,4,100,1181202-Y4-79,05_J,CNC(=O)CN1CC2(CCN(C2=O)C=3C=NC=C4C=CC=C(Cl)C34)C=5C=C(Cl)C=CC5C1=O,"2-[6-chloro-1'-(5-chloroisoquinolin-4-yl)-1,2'-dioxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-methylacetamide",H3703616,7.2
