shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
EDJ-MED-5cd3920d-2,Z5631110304,C27H23ClF2N4O3S,Racemic or presumed racemic or meso,557.011,97.67,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_A,FC(F)C=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,"1-[({6-chloro-1'-[6-(difluoromethyl)isoquinolin-4-yl]-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl}sulfonyl)methyl]cyclopropane-1-carbonitrile",H3799275,34.6
LUO-POS-e1dab717-7,Z5715580859,C30H34ClN5O3,Racemic or presumed racemic or meso,548.075,95.15,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_B,CNC(=O)C1(CC1)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC(OCCN(C)C)=CC56)C2,"1-(6-chloro-1'-{6-[2-(dimethylamino)ethoxy]isoquinolin-4-yl}-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl)-N-methylcyclopropane-1-carboxamide",H3798728,10.2
EDJ-MED-468565e0-2,Z5631110213,C32H34ClN5O5S,Racemic or presumed racemic or meso,636.160,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_C,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN6CCOCC6)=CC45)C2C1)S(=O)(=O)CC7(CC7)C#N,"1-{[(6-chloro-1'-{6-[2-(morpholin-4-yl)ethoxy]isoquinolin-4-yl}-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl)sulfonyl]methyl}cyclopropane-1-carbonitrile",H3796866,29.3
MAT-POS-40ad851a-5,Z5631110278,C33H36ClN5O4S,Racemic or presumed racemic or meso,634.188,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_D,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(OCCCN6CCCC6)=CC45)C2C1)S(=O)(=O)CC7(CC7)C#N,"1-{[(6-chloro-2'-oxo-1'-{6-[3-(pyrrolidin-1-yl)propoxy]isoquinolin-4-yl}-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl)sulfonyl]methyl}cyclopropane-1-carbonitrile",H3798705,115.4
MAT-POS-40ad851a-4,Z5631110276,C31H34ClN5O4S,Racemic or presumed racemic or meso,608.150,97.29,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_E,CN(C)CCCOC=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,"1-{[(6-chloro-1'-{6-[3-(dimethylamino)propoxy]isoquinolin-4-yl}-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl)sulfonyl]methyl}cyclopropane-1-carbonitrile",H3798707,25.3
MIK-ENA-8063e9dc,Z5763627164,C30H32ClN5O4S,Single unknown enantiomer,594.124,97.73,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_F,"CN(C)CCOC=1C=CC=2C=NC=C(N3CC[C@@]4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1 |o1:17,r|","rel-1-({[(4R)-6-chloro-1'-{6-[2-(dimethylamino)ethoxy]isoquinolin-4-yl}-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopropane-1-carbonitrile",H3794910,50.5
MIK-ENA-7066949b,Z5763627162,C30H32ClN5O4S,Single unknown enantiomer,594.124,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_G,"CN(C)CCOC=1C=CC=2C=NC=C(N3CC[C@]4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1 |o1:17,r|","rel-1-({[(4R)-6-chloro-1'-{6-[2-(dimethylamino)ethoxy]isoquinolin-4-yl}-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopropane-1-carbonitrile",H3794867,43.5
ALP-POS-133e7cd9-2,Z5489567292,C27H25ClN4O3S,Racemic or presumed racemic or meso,521.030,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_H,ClC=1C=CC=2CN(CC3(CCCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CC6)C#N,"1-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-piperidin]-2-yl]sulfonyl}methyl)cyclopropane-1-carbonitrile",H3792642,65.6
EDJ-MED-468565e0-1,Z5631110207,C32H34ClN5O4S,Racemic or presumed racemic or meso,620.161,97.65,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_I,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN6CCCC6)=CC45)C2C1)S(=O)(=O)CC7(CC7)C#N,"1-{[(6-chloro-2'-oxo-1'-{6-[2-(pyrrolidin-1-yl)ethoxy]isoquinolin-4-yl}-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl)sulfonyl]methyl}cyclopropane-1-carbonitrile",H3793053,36.1
MAT-POS-40ad851a-2,Z5631110264,C31H34ClN5O4S,Racemic or presumed racemic or meso,608.150,100,200415-FTE / COVID-19,,,0,4,100,1181202-Y4-85,05_J,CCN(C)CCOC=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,"1-({[6-chloro-1'-(6-{2-[ethyl(methyl)amino]ethoxy}isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopropane-1-carbonitrile",H3796867,28.6
