SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
NC(=O)N1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,RAL-THA-4aa06b95-1,CVD-0014255,RAL-THA-4aa06b95-1,Z4872701248,100.0,40,20,1234875-Y40-08,03_A,Racemic or presumed racemic or meso,,H2837360
CC(=O)N1CCN(CC(=O)NC=2C=NC=CC2C=3C=CC=CC3)CC1,EDJ-MED-3c65e9ce-3,CVD-0014917,EDJ-MED-3c65e9ce-3,Z4878360701,97.21,40,20,1234875-Y40-08,03_B,Achiral,,H2833462
"ClC=1C=CC=2NCC[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:8,r|",EDJ-MED-92e193ae-2,CVD-0014806,rel-EDJ-MED-92e193ae-2,Z4878375477,100.0,40,20,1234875-Y40-08,03_C,Single known enantiomer,,H2835820
"ClC=1C=CC=2NCC[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1 |o1:8,r|",EDJ-MED-92e193ae-1,CVD-0014805,rel-EDJ-MED-92e193ae-1,Z4878375901,100.0,40,20,1234875-Y40-08,03_D,Single known enantiomer,,H2835821
ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4C=CC(C#N)=CC34)C2C1,BEN-DND-c852c98b-1,CVD-0014229,BEN-DND-c852c98b-1,Z4778736891,95.46,40,20,1234875-Y40-08,03_E,Racemic or presumed racemic or meso,,H2837339
CN(C)C=1C=CC(=NC1)N(CC=2C=CC=C(Cl)C2)C(=O)CC=3C=NC=C4C=CC=CC34,MAT-POS-6c284e65-1,CVD-0015011,MAT-POS-6c284e65-1,Z4878360707,87.73,40,20,1234875-Y40-08,03_F,Achiral,,H2839213
OC1(CC(=O)NC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,MAT-POS-c7771779-1,CVD-0015014,MAT-POS-c7771779-1,Z4878381017,98.86,40,20,1234875-Y40-08,03_G,Racemic or presumed racemic or meso,,H2839609
CN1C(=O)NC=2C=NC=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)C12,EDG-MED-0e5afe9d-1,CVD-0015326,rac-EDJ-MED-fb4b7746-4,Z4780165435,100.0,40,20,1234875-Y40-08,03_H,Racemic or presumed racemic or meso,,H2839606
ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4NC(=O)NC34)C2C1,EDG-MED-0e5afe9d-2,CVD-0015327,rac-EDJ-MED-fb4b7746-3,Z4780165427,100.0,40,20,1234875-Y40-08,03_I,Racemic or presumed racemic or meso,,H2834162
ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4CCNCC34)C2C1,BEN-DND-c852c98b-10,CVD-0014238,BEN-DND-c852c98b-10,Z4778736890,94.64,40,20,1234875-Y40-08,03_J,Racemic or presumed racemic or meso,,H2843505
COC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,EDG-MED-0e5afe9d-3,CVD-0015328,rac-PET-UNK-29afea89-2,Z4878370295,100.0,40,20,1234875-Y40-08,03_K,Racemic or presumed racemic or meso,,H2849583
CC(C)OC=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CNC=N4,BRU-THA-92256091-17,CVD-0014292,BRU-THA-92256091-17,Z4887119528,98.19,40,20,1234875-Y40-08,03_L,Racemic or presumed racemic or meso,,H2850520
CN1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,MIC-UNK-91acba05-6,CVD-0013559,MIC-UNK-91acba05-6,Z4872701249,100.0,40,20,1234875-Y40-08,03_M,Racemic or presumed racemic or meso,,H2850532
OC=1C=C(Cl)C=C2C(CCOC12)C(=O)NC=3C=NC=C4C=CC=CC34,ALP-POS-ce760d3f-1,CVD-0014502,ALP-POS-ce760d3f-1,Z4780849421,92.2,40,20,1234875-Y40-08,03_N,Racemic or presumed racemic or meso,,H2855748
