Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry
1166137-Y4-01,A05,20200409_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2N=CSC2C1)C=3C=CC=NC3,,4,50,LON-WEI-b8d98729-31,Racemic or presumed racemic or meso
1166137-Y4-01,B05,20200409_enamine_to_xchem.csv,CC(C)C=1C=CC(=CN1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,,4,50,LON-WEI-b8d98729-32,Racemic or presumed racemic or meso
1166137-Y4-01,C05,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=C(C)C1,,4,50,LON-WEI-b8d98729-1,Racemic or presumed racemic or meso
1166137-Y4-01,D05,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=CC1,,4,50,LON-WEI-b8d98729-27,Racemic or presumed racemic or meso
1166137-Y4-01,E05,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3,,4,50,LON-WEI-b8d98729-2,Racemic or presumed racemic or meso
1166137-Y4-01,F05,20200409_enamine_to_xchem.csv,CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,,4,50,LON-WEI-b8d98729-33,Racemic or presumed racemic or meso
1166137-Y4-01,G05,20200409_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=C(C)C1,,4,50,LON-WEI-b8d98729-37,Racemic or presumed racemic or meso
1166137-Y4-01,H05,20200409_enamine_to_xchem.csv,CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)C1,,4,50,LON-WEI-b8d98729-38,Racemic or presumed racemic or meso
1166137-Y4-01,I05,20200409_enamine_to_xchem.csv,CS(=O)(=O)CC1=CC=C(O1)C(=O)NC=2C=CC=NC2,,4,50,ANT-DIA-3c79be55-4,Achiral
1166137-Y4-01,J05,20200409_enamine_to_xchem.csv,ClC1=CC=C(CC(=O)NC=2C=CC=NC2)S1,,4,50,DAR-DIA-842b4336-13,Achiral
1166137-Y4-01,K05,20200409_enamine_to_xchem.csv,ClC=1C=CN=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,,4,50,TRY-UNI-1fd04853-9,Achiral
1166137-Y4-01,L05,20200409_enamine_to_xchem.csv,O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CC3,,4,50,TRY-UNI-1fd04853-8,Achiral
1166137-Y4-01,M05,20200409_enamine_to_xchem.csv,CC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,,4,50,TRY-UNI-714a760b-6,Achiral
1166137-Y4-01,N05,20200409_enamine_to_xchem.csv,ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=CC1,,4,50,TRY-UNI-1fd04853-7,Achiral
1166137-Y4-01,O05,20200409_enamine_to_xchem.csv,ClC=1C=CC=C(NC(=O)CC2=CNC=3N=CC=CC23)C1,,4,50,DAR-DIA-23aa0b97-12,Achiral
1166137-Y4-01,P05,20200409_enamine_to_xchem.csv,CC(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,,4,50,TRY-UNI-714a760b-18,Racemic or presumed racemic or meso
1166137-Y4-01,Q05,20200409_enamine_to_xchem.csv,ClC=1C=CC=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,,4,50,TRY-UNI-1fd04853-5,Achiral
1166137-Y4-01,R05,20200409_enamine_to_xchem.csv,CC(=O)N1CCN(CC=2C=CC=C(C#N)C2)CC1,,4,50,PAT-UNK-b2d83456-1,Achiral
1166137-Y4-01,S05,20200409_enamine_to_xchem.csv,O=C(NC=1C=CC=NC1)NC=2C=CC=C(C#N)C2,,4,50,DAR-DIA-23aa0b97-5,Achiral
1166137-Y4-01,T05,20200409_enamine_to_xchem.csv,O=C(NC=1C=CC(C#N)=CC1)NC=2C=CC=NC2,,4,50,ANN-UNI-26382800-3,Achiral
1166137-Y4-01,U05,20200409_enamine_to_xchem.csv,OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=NC2,,4,50,CHR-SOS-7098f804-11,Achiral
1166137-Y4-01,V05,20200409_enamine_to_xchem.csv,OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2,,4,50,CHR-SOS-7098f804-7,Achiral
1166137-Y4-01,W05,20200409_enamine_to_xchem.csv,CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=C(F)C2,,4,50,MAK-UNK-6435e6c2-5,Achiral
1166137-Y4-01,X05,20200409_enamine_to_xchem.csv,CS(=O)(=O)NC=1C=CC=C(C1)C(=O)NC=2C=CC=C(C2)N3CCCC3=O,,4,50,MAK-UNK-9159f8ed-6,Achiral
1166137-Y4-01,Y05,20200409_enamine_to_xchem.csv,ClC=1C=CC=C(C1)C(=O)NC=2C=CC=NC2,,4,50,CHR-SOS-7098f804-12,Achiral
1166137-Y4-01,Z05,20200409_enamine_to_xchem.csv,CC(C(=O)O)C=1C=CC2=C(C1)NC=3C=CC(Cl)=CC32,,4,50,MAK-UNK-0d6072ac-4,Racemic or presumed racemic or meso
1166137-Y4-01,AA05,20200409_enamine_to_xchem.csv,CCCNC(=O)C(C)NC(=O)N(C)CC1=CSC(C)=N1,,4,50,ALE-UNK-fca05062-9,Racemic or presumed racemic or meso
1166137-Y4-01,AB05,20200409_enamine_to_xchem.csv,O=C(C=CC=CC=1C=CC=2OCOC2C1)N3CCCCC3,,4,50,LON-WEI-b8d98729-3,Achiral
1166137-Y4-01,AC05,20200409_enamine_to_xchem.csv,COC=1C=CC=2NC=C(CCNS(=O)(=O)C)C2C1,,4,50,MAR-UNI-9ca61fdc-1,Achiral
1166137-Y4-01,AD05,20200409_enamine_to_xchem.csv,CC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,,4,50,ALV-UNI-7ff1a6f9-45,Achiral
1166137-Y4-01,AE05,20200409_enamine_to_xchem.csv,CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,,4,50,MAK-UNK-6435e6c2-1,Achiral
1166137-Y4-01,AF05,20200409_enamine_to_xchem.csv,CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,,4,50,VIR-GIT-7b3d3065-3,Achiral
1166137-Y4-01,A06,20200409_enamine_to_xchem.csv,OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2Cl,,4,50,CHR-SOS-7098f804-4,Achiral
1166137-Y4-01,B06,20200409_enamine_to_xchem.csv,ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2,,4,50,VIR-GIT-7b3d3065-2,Achiral
1166137-Y4-01,C06,20200409_enamine_to_xchem.csv,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)OCC3=CN=CS3)CC=4C=CC=CC4,,4,50,ALE-UNK-fca05062-2,Diastereomeric mixture
1166137-Y4-01,D06,20200409_enamine_to_xchem.csv,CNS(=O)(=O)CC=1C=CC=2NC=C(CCN(C)C)C2C1.OC(=O)CCC(=O)O,,4,50,LON-WEI-b8d98729-34,Achiral
1166137-Y4-01,E06,20200409_enamine_to_xchem.csv,CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)COC=3C(C)=CC=CC3C)CC=4C=CC=CC4,,4,50,ALE-UNK-fca05062-1,Diastereomeric mixture
1166137-Y4-01,F06,20200409_enamine_to_xchem.csv,COC=1C=CC=2NC=C(CCNC(=O)C)C2C1,,4,50,JOH-MSK-35a8745a-1,Achiral
1166137-Y4-01,G06,20200409_enamine_to_xchem.csv,CC=1C=CC(=CC1)C2=CC(=NN2C=3C=CC(=CC3)S(=O)(=O)N)C(F)(F)F,,4,50,GER-UNI-05c7e912-1,Achiral
1166137-Y4-01,H06,20200409_enamine_to_xchem.csv,CCC(=O)O[C@@H](OP(=O)(CCCCC=1C=CC=CC1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3)C(C)C,,4,50,LON-WEI-b8d98729-5,Diastereomeric mixture
1166137-Y4-01,I06,20200409_enamine_to_xchem.csv,CCC(=O)NCC[C@@H]1CCC=2C=CC=3OCCC3C12,,4,50,JOH-MSK-ec639444-2,Single known enantiomer
1166137-Y4-01,J06,20200409_enamine_to_xchem.csv,O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CN3,,4,50,TRY-UNI-1fd04853-12,Achiral
1166137-Y4-01,K06,20200409_enamine_to_xchem.csv,ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=NC1,,4,50,TRY-UNI-1fd04853-11,Achiral
1166137-Y4-01,L06,20200409_enamine_to_xchem.csv,O=C(CC1=CNC=2N=CC=CC12)NC=3C=CC=C(C#N)C3,,4,50,DAR-DIA-23aa0b97-1,Achiral
