Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1181202-Y4-16,05_A,20200901_enamine_hungary_to_xchem.csv,COC=1C=C(OC)N=C(C#N)N1,AAR-RCN-748c104b,4,100,,Achiral,Z1255395776,UNK
1181202-Y4-16,05_B,20200901_enamine_hungary_to_xchem.csv,BrC=1C=NC(C#N)=NC1,AAR-RCN-98de6bc7,4,100,,Achiral,Z1201621894,UNK
1181202-Y4-16,05_C,20200901_enamine_hungary_to_xchem.csv,CC=1C=C(C)N=C(C#N)N1,AAR-RCN-8752a6eb,4,100,,Achiral,Z1255431360,UNK
1181202-Y4-16,05_D,20200901_enamine_hungary_to_xchem.csv,FC=1C=NC(C#N)=NC1,AAR-RCN-ec065b93,4,100,,Achiral,Z1255491515,UNK
1181202-Y4-16,05_E,20200901_enamine_hungary_to_xchem.csv,ClC=1C=NC(C#N)=NC1,AAR-RCN-934be69e,4,100,,Achiral,Z1198161170,UNK
1181202-Y4-16,05_F,20200901_enamine_hungary_to_xchem.csv,COC=1C=NC(C#N)=NC1,AAR-RCN-9c8a34f0,4,100,,Achiral,Z1198152365,UNK
1181202-Y4-16,05_G,20200901_enamine_hungary_to_xchem.csv,ClC=1C=CN=C(C#N)N1,AAR-RCN-37d0aa00,4,100,,Achiral,Z1198220737,UNK
1181202-Y4-16,05_H,20200901_enamine_hungary_to_xchem.csv,CC1(C)OB(OC1(C)C)C=2C=NC(C#N)=NC2,AAR-RCN-67438d21,4,100,,Achiral,Z1485340638,UNK
1181202-Y4-16,05_I,20200901_enamine_hungary_to_xchem.csv,ClC=1C=CC=C(CCN2C=CN=C2C#N)C1,AAR-RCN-28a8122f,4,100,,Achiral,Z4624777430,UNK
1181202-Y4-16,05_J,20200901_enamine_hungary_to_xchem.csv,CC(CN1C=CN=C1C#N)C=2C=CC=C(Cl)C2,AAR-RCN-78cf61f7,4,100,,Racemic or presumed racemic or meso,Z2168964712,UNK
1181202-Y4-16,05_K,20200901_enamine_hungary_to_xchem.csv,ClC=1C=CC=C(CCCN2C=CN=C2C#N)C1,AAR-RCN-845f9611,4,100,,Achiral,Z4624777477,UNK
1181202-Y4-16,05_L,20200901_enamine_hungary_to_xchem.csv,C[N+]=1C=CN(CCC=2C=CC=C(Cl)C2)C1C#N.[O-]S(=O)(=O)C(F)(F)F,AAR-RCN-521d1733,4,100,,Achiral,Z4624777480,UNK
1181202-Y4-16,05_M,20200901_enamine_hungary_to_xchem.csv,C[N+]=1C=CN(CCCC=2C=CC=C(Cl)C2)C1C#N.[O-]S(=O)(=O)C(F)(F)F,AAR-RCN-dbf5c5ee,4,100,,Achiral,Z4624777471,UNK
1181202-Y4-16,05_N,20200901_enamine_hungary_to_xchem.csv,COC=1C=C(OC)[N+](C)=C(C#N)N1.[O-]S(=O)(=O)C(F)(F)F,AAR-RCN-390aeb1f,4,100,,Achiral,Z4624777482,UNK
1181202-Y4-16,05_O,20200901_enamine_hungary_to_xchem.csv,CC=1C=C(C)[N+](C)=C(C#N)N1.[O-]S(=O)(=O)C(F)(F)F,AAR-RCN-9f0de475,4,100,,Achiral,Z4624777444,UNK
1181202-Y4-16,05_P,20200901_enamine_hungary_to_xchem.csv,O[C@@H](CN(CC=1C=CC=CC1)C(=O)CNC(=O)C=C)C2=CC=CS2,JUA-UNI-bc099708-1,4,100,,Single known enantiomer,Z4624777491,UNK
1181202-Y4-16,05_Q,20200901_enamine_hungary_to_xchem.csv,CC=1NC2=C(CNC(=O)C=3C=CC(CNC(=O)C=C)=CC3)C=C(C)C=C2C1C,JUA-UNI-bc099708-2,4,100,,Achiral,Z970632906,UNK
1181202-Y4-16,05_R,20200901_enamine_hungary_to_xchem.csv,BrC=1C=CSC1CN(CCN2CCOCC2)C(=O)CNC(=O)C=C,JUA-UNI-bc099708-3,4,100,,Achiral,Z3755941138,UNK
1181202-Y4-16,05_S,20200901_enamine_hungary_to_xchem.csv,OC[C@@H](NC(=O)C=1C=CC(CNC(=O)C=C)=CC1)C=2C=CC(Br)=C(F)C2,JUA-UNI-bc099708-4,4,100,,Single known enantiomer,Z4624777450,UNK
1181202-Y4-16,05_T,20200901_enamine_hungary_to_xchem.csv,OC=1C=CC(=CC1NC(=O)C=C)C(=O)NC[C@H](CC=2C=CC=CC2)C=3C=CC=CN3,JUA-UNI-bc099708-5,4,40,,Single known enantiomer,Z4624777462,UNK
1181202-Y4-16,05_U,20200901_enamine_hungary_to_xchem.csv,OC=1C=CC=CC1CN(C[C@@H]2CCCO2)C(=O)CNC(=O)C=C,JUA-UNI-a9dfaed1-1,4,100,,Single known enantiomer,Z4624777502,UNK
1181202-Y4-16,05_V,20200901_enamine_hungary_to_xchem.csv,CC(C)(C)NS(=O)(=O)C=1C=CC=CC1CNC(=O)C=C,JUA-UNI-a9dfaed1-2,4,100,,Achiral,Z2517209813,UNK
1181202-Y4-16,05_W,20200901_enamine_hungary_to_xchem.csv,CNS(=O)(=O)C=1C=CC=CC1CNC(=O)C=C,JUA-UNI-a9dfaed1-3,4,100,,Achiral,Z3766090662,UNK
1181202-Y4-16,05_X,20200901_enamine_hungary_to_xchem.csv,O[C@]1(CN(CC=2C=CC=CC2)C(=O)CNC(=O)C=C)CN3CCC1CC3,JUA-UNI-a9dfaed1-4,4,50,,Diastereomeric mixture,Z4624777454,UNK
1181202-Y4-16,05_Y,20200901_enamine_hungary_to_xchem.csv,C=CC(=O)NCCC(=O)N(CC=1C=CC=CC1)CC2=NC=3C=CC=CC3C(=O)N2,JUA-UNI-a9dfaed1-5,4,100,,Achiral,Z1478980151,UNK
1181202-Y4-16,05_Z,20200901_enamine_hungary_to_xchem.csv,CN(C)CCNC(=O)[C@@H](CC=1C=CC=CC1)NC(=O)C=C,JUA-UNI-a9dfaed1-6,4,100,,Single known enantiomer,Z3707780538,UNK
1181202-Y4-16,05_AA,20200901_enamine_hungary_to_xchem.csv,O[C@H](CNC(=O)C=1C=C(NC(=O)C=C)C=CC1O)C=2C=CC=3C=CC=CC3C2,JUA-UNI-a9dfaed1-7,4,100,,Single known enantiomer,Z4624777459,UNK
