Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID
1181202-Y4-32,05_A,20210108_enamine_to_xchem.csv,NC(=O)N1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,RAL-THA-4aa06b95-1,4,100,RAL-THA-4aa06b95-1,Racemic or presumed racemic or meso,Z4872701248,H2837360
1181202-Y4-32,05_B,20210108_enamine_to_xchem.csv,CC(=O)N1CCN(CC(=O)NC=2C=NC=CC2C=3C=CC=CC3)CC1,EDJ-MED-3c65e9ce-3,4,100,EDJ-MED-3c65e9ce-3,Achiral,Z4878360701,H2833462
1181202-Y4-32,05_C,20210108_enamine_to_xchem.csv,ClC=1C=CC=2NCC[C@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,rel-EDJ-MED-92e193ae-2,4,100,EDJ-MED-92e193ae-2,Single known enantiomer,Z4878375477,H2835820
1181202-Y4-32,05_D,20210108_enamine_to_xchem.csv,ClC=1C=CC=2NCC[C@@H](C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,rel-EDJ-MED-92e193ae-1,4,100,EDJ-MED-92e193ae-1,Single known enantiomer,Z4878375901,H2835821
1181202-Y4-32,05_E,20210108_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4C=CC(C#N)=CC34)C2C1,BEN-DND-c852c98b-1,4,100,BEN-DND-c852c98b-1,Racemic or presumed racemic or meso,Z4778736891,H2837339
1181202-Y4-32,05_F,20210108_enamine_to_xchem.csv,CN(C)C=1C=CC(=NC1)N(CC=2C=CC=C(Cl)C2)C(=O)CC=3C=NC=C4C=CC=CC34,MAT-POS-6c284e65-1,4,100,MAT-POS-6c284e65-1,Achiral,Z4878360707,H2839213
1181202-Y4-32,05_G,20210108_enamine_to_xchem.csv,OC1(CC(=O)NC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,MAT-POS-c7771779-1,4,100,MAT-POS-c7771779-1,Racemic or presumed racemic or meso,Z4878381017,H2839609
1181202-Y4-32,05_H,20210108_enamine_to_xchem.csv,CN1C(=O)NC=2C=NC=C(NC(=O)C3CCOC=4C=CC(Cl)=CC34)C12,rac-EDJ-MED-fb4b7746-4,4,100,EDG-MED-0e5afe9d-1,Racemic or presumed racemic or meso,Z4780165435,H2839606
1181202-Y4-32,05_I,20210108_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4NC(=O)NC34)C2C1,rac-EDJ-MED-fb4b7746-3,4,100,EDG-MED-0e5afe9d-2,Racemic or presumed racemic or meso,Z4780165427,H2834162
1181202-Y4-32,05_J,20210108_enamine_to_xchem.csv,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4CCNCC34)C2C1,BEN-DND-c852c98b-10,4,100,BEN-DND-c852c98b-10,Racemic or presumed racemic or meso,Z4778736890,H2843505
1181202-Y4-32,05_K,20210108_enamine_to_xchem.csv,COC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,rac-PET-UNK-29afea89-2,4,100,EDG-MED-0e5afe9d-3,Racemic or presumed racemic or meso,Z4878370295,H2849583
1181202-Y4-32,05_L,20210108_enamine_to_xchem.csv,CC(C)OC=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CNC=N4,BRU-THA-92256091-17,4,100,BRU-THA-92256091-17,Racemic or presumed racemic or meso,Z4887119528,H2850520
1181202-Y4-32,05_M,20210108_enamine_to_xchem.csv,CN1CCC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC14,MIC-UNK-91acba05-6,4,100,MIC-UNK-91acba05-6,Racemic or presumed racemic or meso,Z4872701249,H2850532
1181202-Y4-32,05_N,20210108_enamine_to_xchem.csv,OC=1C=C(Cl)C=C2C(CCOC12)C(=O)NC=3C=NC=C4C=CC=CC34,ALP-POS-ce760d3f-1,4,100,ALP-POS-ce760d3f-1,Racemic or presumed racemic or meso,Z4780849421,H2855748
