Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-74,05_A,20211110_enamine_to_xchem.csv,CC1(CN(CC=2C=CC(Cl)=CC21)S(=O)(=O)CC3(CC3)C#N)C(=O)NC=4C=NC=C5C=CC=CC45,ALP-POS-c56c1477-4,4,100,ALP-POS-c56c1477-4,Racemic or presumed racemic or meso,Z5169210053,H3571238,22.6
1181202-Y4-74,05_B,20211110_enamine_to_xchem.csv,CC(C)CS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC(=CC23)C(C)(C)O)C=4C=C(Cl)C=CC4C1,MAT-POS-c88128cb-1,4,100,MAT-POS-c88128cb-1,Racemic or presumed racemic or meso,Z5367986307,H3569740,36.3
1181202-Y4-74,05_C,20211110_enamine_to_xchem.csv,CNC(=O)C=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(C)CS(=O)(=O)C5)C2C1,MAT-POS-78ab8081-3,4,100,MAT-POS-78ab8081-3,Racemic or presumed racemic or meso,Z5372150751,H3569738,38.4
1181202-Y4-74,05_D,20211110_enamine_to_xchem.csv,CC1(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=C(Cl)C34)C=5C=C(Cl)C=CC5C2)CS(=O)(=O)C1,EDJ-MED-ede277f6-11,4,100,EDJ-MED-ede277f6-11,Racemic or presumed racemic or meso,Z5367986374,H3566077,20.8
1181202-Y4-74,05_E,20211110_enamine_to_xchem.csv,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=C(NS(=O)(=O)C)C=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-b4d6b7fc-1,4,100,MAT-POS-b4d6b7fc-1,Racemic or presumed racemic or meso,Z5372150757,H3562149,0.5
1181202-Y4-74,05_F,20211110_enamine_to_xchem.csv,CN(C)CCOC=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(C)CS(=O)(=O)C5)C2C1,MAT-POS-83f73d0a-2,4,100,MAT-POS-83f73d0a-2,Racemic or presumed racemic or meso,Z5372150749,H3566079,11.6
1181202-Y4-74,05_G,20211110_enamine_to_xchem.csv,COCCN1CCC=2C=CC(Cl)=CC2C1C(=O)NC=3C=NC=C4C=CC=CC34,EDJ-MED-2791eece-3,4,100,EDJ-MED-2791eece-3,Racemic or presumed racemic or meso,Z5278655702,H3563365,29.1
1181202-Y4-74,05_H,20211110_enamine_to_xchem.csv,CC(C)(O)C=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(C)CS(=O)(=O)C5)C2C1,MAT-POS-83f73d0a-1,4,100,MAT-POS-83f73d0a-1,Racemic or presumed racemic or meso,Z5367986318,H3569743,0.4
1181202-Y4-74,05_I,20211110_enamine_to_xchem.csv,ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=C(NS(=O)(=O)C5CC5)C=CC34)C2C1)S(=O)(=O)CC6(CC6)C#N,MAT-POS-22373164-4,4,100,MAT-POS-22373164-4,Racemic or presumed racemic or meso,Z5395340420,H3582673,21.8
1181202-Y4-74,05_J,20211110_enamine_to_xchem.csv,ClC=1C=CC(CNS(=O)(=O)CC2(CC2)C#N)=C(CC(=O)NC=3C=NC=C4C=CC=CC34)C1,ALP-POS-d7944b10-3,4,100,ALP-POS-6479a3a9-1,Achiral,Z5368429813,H3580970,0.0
1181202-Y4-74,05_K,20211110_enamine_to_xchem.csv,CS(=O)(=O)NC=1C=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC2C1,MAT-POS-90fd5f68-12,4,100,MAT-POS-90fd5f68-12,Achiral,Z5261485114,H3566086,13.4
1181202-Y4-74,05_L,20211110_enamine_to_xchem.csv,CNC(=O)CN1C(C)C(C(=O)NC=2C=NC=C3C=C(C=CC23)S(=O)(=O)C)C=4C=C(Cl)C=CC4C1=O,EDG-MED-ee636701-1,4,100,EDG-MED-ee636701-1,Diastereomeric mixture,Z5367986287,H3586174,0.0
1181202-Y4-74,05_M,20211110_enamine_to_xchem.csv,CN1CC(C)(C(=O)NC=2C=NC=C3C=C(C=CC23)S(=O)(=O)C)C=4C=C(Cl)C=CC4S1(=O)=O,EDG-MED-b8f93667-4,4,100,EDG-MED-b8f93667-4,Racemic or presumed racemic or meso,Z5367986386,H3579787,73.4
1181202-Y4-74,05_N,20211110_enamine_to_xchem.csv,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC(=CC23)C(C)(C)O)C=4C=C(Cl)C=CC4C1=O,MAT-POS-97ec4bd1-4,4,100,MAT-POS-97ec4bd1-4,Racemic or presumed racemic or meso,Z5367986365,H3577255,27.4
1181202-Y4-74,05_O,20211110_enamine_to_xchem.csv,COC1(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC(=CC34)C(C)(C)O)C=5C=C(Cl)C=CC5C2)CC1,MAT-POS-97ec4bd1-1,4,100,MAT-POS-97ec4bd1-1,Racemic or presumed racemic or meso,Z5367986355,H3573219,21.7
1181202-Y4-74,05_P,20211110_enamine_to_xchem.csv,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3CCCCC23)C=4C=C(Cl)C=CC4C1=O,ALP-POS-4483ae88-3,4,100,ALP-POS-4483ae88-3,Racemic or presumed racemic or meso,Z5395340384,H3583037,30.6
1181202-Y4-74,05_Q,20211110_enamine_to_xchem.csv,CNC(=O)CN1CC(C(=O)NC=2C=NC=C3C=CC(=CC23)C(C)(C)O)C=4C=C(Cl)C=CC4C1,MAT-POS-97ec4bd1-3,4,100,MAT-POS-97ec4bd1-3,Racemic or presumed racemic or meso,Z5367986362,H3587618,29.3
1181202-Y4-74,05_R,20211110_enamine_to_xchem.csv,CN1N=CC=2C(NC(=O)CC=3C=CC=C(Cl)C3)=CN=CC12,RUB-POS-1325a9ea-15,4,100,RUB-POS-1325a9ea-15,Achiral,Z4951847527,H3585966,91.4
