SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
BrC=1C=CC=C(NC(=O)C2CCC(=O)N2)C1,,,JAG-UCB-ef2c0e8e-2,Z27788997,100.0,40,20,1181202-Y40-06,03_A,Racemic or presumed racemic or meso,not found,UNK
ClC=1C=CC=C(C1)N2CCC(NC3=NC=CN4C=NN=C34)C2=O,,,JAG-UCB-4709a583-1,Z1348442959,100.0,40,20,1181202-Y40-06,03_B,Racemic or presumed racemic or meso,not found,UNK
CN1C=NN=C1CNC(=O)NC2=CC(=CNC2=O)C(F)(F)F,,,JAG-UCB-ef2c0e8e-7,Z821000364,100.0,40,20,1181202-Y40-06,03_C,Achiral,not found,UNK
CC=1C=CC=C(C1)C2CN(CC=3C=CC=CC23)C(=O)CCl,,,NIR-THE-c33-6,Z4461624309,100.0,40,20,1181202-Y40-06,03_D,Racemic or presumed racemic or meso,not found,UNK
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(Cl)C3)C(=O)C=C,,,Z4509080650,Z4509080650,100.0,40,20,1181202-Y40-06,03_E,Racemic or presumed racemic or meso,not found,UNK
ClCC(=O)N1CCN(CC2=NC(=NO2)C3=CC=CS3)CC1,,,NAU-LAT-64f4b287-3,Z258606294,100.0,40,20,1181202-Y40-06,03_F,Achiral,not found,UNK
FC=1C=CC=C(CCNC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=NC=C(Cl)C3)C1,,,Z4509080683,Z4509080683,91.15,40,20,1181202-Y40-06,03_G,Racemic or presumed racemic or meso,not found,UNK
CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NCCC=3C=CC=C(F)C3,,,Z4509080660,Z4509080660,86.0,40,20,1181202-Y40-06,03_H,Racemic or presumed racemic or meso,not found,UNK
CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,,,Z4509080688,Z4509080688,100.0,40,20,1181202-Y40-06,03_I,Racemic or presumed racemic or meso,not found,UNK
CCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,,,MAT-POS-590ac91e-51,Z1171332535,98.33,40,20,1181202-Y40-06,03_J,Racemic or presumed racemic or meso,not found,UNK
FC=1C=CC=CC1S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,,,MAT-POS-590ac91e-70,Z1171675137,100.0,40,20,1181202-Y40-06,03_K,Achiral,not found,UNK
COC=1C=CC=CC1OCCNC(=O)C2=CC(=O)NC=3C=CC(Cl)=CC23,,,MAT-POS-590ac91e-42,Z1171675407,100.0,40,20,1181202-Y40-06,03_L,Achiral,not found,UNK
CC1(C)CC=2C=CC=C(OCCNC(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34)C2O1,,,MAT-POS-590ac91e-53,Z1171334619,100.0,40,20,1181202-Y40-06,03_M,Achiral,not found,UNK
CC=1C=CC(=C(C)C1)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,,,MAT-POS-590ac91e-64,Z1239079164,100.0,40,20,1181202-Y40-06,03_N,Achiral,not found,UNK
COC=1C=CC=C2CC(COC12)NC(=O)C3=CC(=O)NC=4C=C(F)C=CC34,,,MAT-POS-590ac91e-36,Z1246062566,100.0,40,20,1181202-Y40-06,03_O,Racemic or presumed racemic or meso,not found,UNK
COC=1C=CC=CC1OC(C)CNC(=O)C2=CC(=O)NC=3C=CC(F)=CC23,,,MAT-POS-590ac91e-39,Z1275020238,100.0,40,20,1181202-Y40-06,03_P,Racemic or presumed racemic or meso,not found,UNK
ClC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2C1,,,MAT-POS-590ac91e-58,Z1171323384,100.0,40,20,1181202-Y40-06,04_A,Achiral,not found,UNK
FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4C#N)C2C1,,,MAT-POS-590ac91e-62,Z1239087273,100.0,40,20,1181202-Y40-06,04_B,Achiral,not found,UNK
FC=1C=CC=2NC(=O)C=C(C(=O)NCC3COC=4C=CC=CC4O3)C2C1,,,MAT-POS-590ac91e-30,Z1239082144,100.0,40,20,1181202-Y40-06,04_C,Racemic or presumed racemic or meso,not found,UNK
FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4Cl)C2C1,,,MAT-POS-590ac91e-68,Z1239794567,100.0,40,20,1181202-Y40-06,04_D,Achiral,not found,UNK
CC1(C)CC=2C=CC=C(OCCNC(=O)C3=CC(=O)NC=4C=CC(F)=CC34)C2O1,,,MAT-POS-590ac91e-47,Z1239164812,100.0,40,20,1181202-Y40-06,04_E,Achiral,not found,UNK
FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC(C#N)=CC4)C2C1,,,MAT-POS-590ac91e-59,Z1239108048,100.0,40,20,1181202-Y40-06,04_F,Achiral,not found,UNK
COC=1C=CC=CC1OCC(C)NC(=O)C2=CC(=O)NC=3C=CC(F)=CC23,,,MAT-POS-590ac91e-41,Z1239203456,100.0,40,20,1181202-Y40-06,04_G,Racemic or presumed racemic or meso,not found,UNK
CCOC=1C=CC=CC1OC2CCN(C2)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,,,MAT-POS-590ac91e-48,Z3607518063,100.0,40,20,1181202-Y40-06,04_H,Racemic or presumed racemic or meso,not found,UNK
CN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,,,MAT-POS-590ac91e-33,Z1239789614,100.0,40,20,1181202-Y40-06,04_I,Racemic or presumed racemic or meso,not found,UNK
Cl.ClC=1C=CC=C(C1)N2C(=O)NC(C2=O)C=3C=CC=NC3,,,JAN-GHE-83b26c96-18,Z4512897824,96.06,40,20,1181202-Y40-06,04_J,Racemic or presumed racemic or meso,not found,UNK
CC=1C=CC(=CC1)S(=O)(=O)N2CCN(CC2)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,,,MAT-POS-590ac91e-66,Z1172514450,100.0,40,20,1181202-Y40-06,04_K,Achiral,not found,UNK
FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=C(Cl)C4)C2C1,,,MAT-POS-590ac91e-69,Z1239126544,100.0,40,20,1181202-Y40-06,04_L,Achiral,not found,UNK
FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2C1,,,MAT-POS-590ac91e-56,Z1239079472,100.0,40,20,1181202-Y40-06,04_M,Achiral,not found,UNK
FC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC(Cl)=CC4)C2C1,,,MAT-POS-590ac91e-67,Z1239079490,100.0,40,20,1181202-Y40-06,04_N,Achiral,not found,UNK
CCCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,,,MAT-POS-590ac91e-55,Z1172530526,97.35,40,20,1181202-Y40-06,04_O,Racemic or presumed racemic or meso,not found,UNK
COC=1C=CC=CC1OC2CCCN(C2)C(=O)C3=CC(=O)NC=4C=CC(Cl)=CC34,,,MAT-POS-590ac91e-54,Z2093476360,100.0,40,20,1181202-Y40-06,04_P,Racemic or presumed racemic or meso,not found,UNK
COC=1C=CC=CC1OCCN(C)C(=O)C2=CC(=O)NC=3C=CC(Cl)=CC23,,,MAT-POS-590ac91e-43,Z1172801512,100.0,40,20,1181202-Y40-06,05_A,Achiral,not found,UNK
CO[C@H](C)C(=O)NC=1C=NC=CC1C,,,ERI-UCB-5b47150d-1,Z3532995054,100.0,40,20,1181202-Y40-06,05_B,Single known enantiomer,not found,UNK
COC=1C=CC=C2CC(COC12)NC(=O)C3=CC(=O)NC=4C=CC(F)=CC34,,,MAT-POS-590ac91e-35,Z1239273170,100.0,40,20,1181202-Y40-06,05_C,Racemic or presumed racemic or meso,not found,UNK
CCOC=1C=CC=CC1OC2CCN(C2)C(=O)C3=CC(=O)NC=4C=C(F)C=CC34,,,MAT-POS-590ac91e-49,Z3607518048,95.0,40,20,1181202-Y40-06,05_D,Racemic or presumed racemic or meso,not found,UNK
ClC=1C=CC=C(CC(=O)NN2C=NC=3C=CC=CC23)C1,,,JAN-GHE-5a013bed-2,Z1079977350,100.0,40,20,1181202-Y40-06,05_E,Achiral,not found,UNK
CC=1N=NN(NC(=O)CC=2C=CC=C(Cl)C2)C1C,,,JAN-GHE-5a013bed-1,Z2917057197,100.0,40,20,1181202-Y40-06,05_F,Achiral,not found,UNK
CC=1C=CN=CC1CN2C=CC=CC2=O,,,JAN-GHE-d851b096-6,Z3444472164,96.79,40,20,1181202-Y40-06,05_G,Achiral,not found,UNK
O=C(CC=1C=CC=NC1)NCC=2C=CC=CC2,,,NAU-LAT-64f4b287-9,Z1171318402,100.0,40,20,1181202-Y40-06,05_H,Achiral,not found,UNK
ClC=1C=CC=C(CC(=O)NN2C=NC=3C=CC=CC3C2=O)C1,,,JAN-GHE-5a013bed-3,Z1079600034,100.0,40,20,1181202-Y40-06,05_I,Achiral,not found,UNK
CCCN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=C(F)C=CC34,,,MAT-POS-590ac91e-50,Z1245866316,100.0,40,20,1181202-Y40-06,05_J,Racemic or presumed racemic or meso,not found,UNK
CN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=C(F)C=CC34,,,MAT-POS-590ac91e-34,Z1246416720,100.0,40,20,1181202-Y40-06,05_K,Racemic or presumed racemic or meso,not found,UNK
CC(CC1CC1)C(=O)NC=2C=NC=CC2C,,,MAT-POS-590ac91e-5,Z3471768117,100.0,40,20,1181202-Y40-06,05_L,Racemic or presumed racemic or meso,not found,UNK
CC(C)C(C)CC(=O)NC=1C=NC=CC1C,,,MAT-POS-590ac91e-11,Z1129289653,100.0,40,20,1181202-Y40-06,05_M,Racemic or presumed racemic or meso,not found,UNK
CC=1C=CN=CC1NC(=O)C2CCC32CCC3,,,MAT-POS-590ac91e-22,Z4099035734,100.0,40,20,1181202-Y40-06,05_N,Racemic or presumed racemic or meso,not found,UNK
CC=1C=CN=CC1NC(=O)C2CCC3(CC3)C2,,,MAT-POS-590ac91e-21,Z3841116102,100.0,40,20,1181202-Y40-06,05_O,Racemic or presumed racemic or meso,not found,UNK
CC=1C=CN=CC1NC(=O)CC2CCCNC2,,,EDG-MED-0da5ad92-9,Z1124504173,100.0,40,20,1181202-Y40-06,05_P,Racemic or presumed racemic or meso,not found,UNK
CC=1C=CN=CC1NC(=O)CC23CC3CCC2,,,MAT-POS-590ac91e-25,Z4099035768,100.0,40,20,1181202-Y40-06,06_A,Racemic or presumed racemic or meso,not found,UNK
CC=1C=CN=CC1NC(=O)C2CC(C2)C3CC3,,,MAT-POS-590ac91e-18,Z2703873181,100.0,40,20,1181202-Y40-06,06_B,Diastereomeric mixture,not found,UNK
CC=1C=CN=CC1NC(=O)[C@@H]2C[C@H]2CF,,,ERI-UCB-5b47150d-6,Z4503232615,100.0,40,20,1181202-Y40-06,06_C,Racemic diastereomer with known relative stereochemistry,not found,UNK
OC(=O)C(CC=1N=CC=C(O)N1)NCC2CC3CC2C=C3,,,Z4498832239,Z4498832239,100.0,40,20,1181202-Y40-06,06_D,Diastereomeric mixture,not found,UNK
ClC=1C=CC=C(CC(=O)NC2=NN=NN2)C1,,,JAN-GHE-5a013bed-11,Z1097410173,100.0,40,20,1181202-Y40-06,06_E,Achiral,not found,UNK
CC=1C=CN=CC1NC(=O)CCC=2C=CC(F)=CC2,,,BEN-DND-93268d01-5,Z1129284972,100.0,40,20,1181202-Y40-06,06_F,Achiral,not found,UNK
CC=1C=CN=CC1NC(=O)CC(C)(C)C=2C=CC=CC2,,,BEN-DND-93268d01-13,Z1129289013,98.14,40,20,1181202-Y40-06,06_G,Achiral,not found,UNK
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(I)C2,,,JAN-GHE-83b26c96-13,Z1419998889,100.0,40,20,1181202-Y40-06,06_H,Achiral,not found,UNK
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C3CC3,,,ALP-POS-95b75b4d-4,Z2347827406,100.0,40,20,1181202-Y40-06,06_I,Achiral,not found,UNK
CC=1C=CN=C(C)C1NC(=O)C2CC3CC3C2,,,MAT-POS-590ac91e-20,Z2673394574,100.0,40,20,1181202-Y40-06,06_J,Racemic or presumed racemic or meso,not found,UNK
O=C(CC=1C=CC=NC1)N2CCCC2C3=NOC(=N3)C4CC4,,,JAG-UCB-cedd89ab-4,Z1268747002,100.0,40,20,1181202-Y40-06,06_K,Racemic or presumed racemic or meso,not found,UNK
CC=1C=CN=CC1NC(=O)C2(CC3C2)OC3,,,MAT-POS-590ac91e-4,Z3321933194,100.0,40,20,1181202-Y40-06,06_L,Diastereomeric mixture,not found,UNK
CC=1C=CN=CC1NC(=O)C2(CCC3CO2)C3,,,MAT-POS-590ac91e-29,Z3471767411,100.0,40,20,1181202-Y40-06,06_M,Diastereomeric mixture,not found,UNK
COC1(CC(=O)NC=2C=NC=CC2C)CC1,,,MAT-POS-590ac91e-9,Z3048531849,100.0,40,20,1181202-Y40-06,06_N,Achiral,not found,UNK
CCO[C@@H]1C[C@H]1C(=O)NC=2C=NC=CC2C,,,MAT-POS-590ac91e-8,Z4503232591,96.33,40,20,1181202-Y40-06,06_O,Racemic diastereomer with known relative stereochemistry,not found,UNK
CC1CN(CC=2C=CC=CC2)CCC1NC(=O)C(=O)NCC=3C=CC=CC3CN4CCCCC4C,,,Z4498832238,Z4498832238,100.0,40,20,1181202-Y40-06,06_P,Diastereomeric mixture,not found,UNK
