SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
NS(=O)(=O)CCC=1C=CC=CC1CN2CCN(CC2)C(=O)CCl,MIH-UNI-e573136b-5,CVD-0002831,MIH-UNI-e57-5,Z4461624245,100.0,40,20,1181202-Y40-09,03_A,Achiral,
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(C#N)C3)C(=O)C=C,LON-WEI-babf2c61-3,CVD-0006800,LON-WEI-babf2c61-3,Z4509080668,100.0,40,20,1181202-Y40-09,03_B,Racemic or presumed racemic or meso,
FC=1C=CC=C(CCNC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=NC=C(C#N)C3)C1,LON-WEI-babf2c61-7,CVD-0006804,LON-WEI-babf2c61-7,Z4509080696,100.0,40,20,1181202-Y40-09,03_C,Racemic or presumed racemic or meso,
CCN1C(=O)N(CC(=O)NC=2C(C)=CC=NC2C)C=3C=CC=CC13,BAR-COM-0f94fc3d-51,CVD-0005532,BAR-COM-0f94fc3d-51,Z2414557205,100.0,40,20,1181202-Y40-09,03_D,Achiral,
O=C(CC=1C=CC=2NC(=O)NC2C1)NC3(CNC(=O)C4=CN=CN4)CC3,BEN-BAS-baaab58b-1,CVD-0005895,BEN-BAS-baaab58b-1,Z4511729908,100.0,40,20,1181202-Y40-09,03_E,Achiral,
CO[C@@H](C)C(=O)NC=1C=NC=CC1C,MAT-POS-590ac91e-2,CVD-0005364,MAT-POS-590ac91e-2,Z3721176802,100.0,40,20,1181202-Y40-09,03_F,Single known enantiomer,
CC=1C=CN=CC1NC(=O)CN2CCOCC2,BEN-DND-93268d01-10,CVD-0005062,BEN-DND-93268d01-10,Z1551794845,90.0,40,20,1181202-Y40-09,03_G,Achiral,
CC=1N=NN(C)C1NC(=O)CC=2C=CC=C(Cl)C2,EDJ-MED-49816e9b-5,CVD-0005149,EDJ-MED-49816e9b-5,Z4497196446,96.49,40,20,1181202-Y40-09,03_H,Achiral,
FC=1C=CC(=CC1)S(=O)(=O)N2CCC(CC2)C(=O)NC3=NN=C(O3)C=4C=CC=CN4,DRA-CSI-7ec17797-18,CVD-0001034,DRA-CSI-7ec17797-18,Z4526244444,100.0,40,20,1181202-Y40-09,03_I,Achiral,
CCNC=1N=CC(C#N)=CC1CN2CCN(CC2)C(=O)CCl,DAR-DIA-fb20be43-4,CVD-0000464,BRU-LEF-ae0-1,Z4461624250,100.0,40,20,1181202-Y40-09,03_J,Achiral,
CC=1C=CN=CC1NC(=O)CC(O)C2CC2,MAT-POS-590ac91e-7,CVD-0005419,MAT-POS-590ac91e-7,Z3349364836,100.0,40,20,1181202-Y40-09,03_K,Racemic or presumed racemic or meso,
COC=1C=CC(=CC1)C=2C=CC=C(C2)S(=O)(=O)N3CCN(CC3)C(=O)C,ANT-OPE-7824651a-1,CVD-0000174,ANT-OPE-7824651a-1,Z4444621909,100.0,40,20,1181202-Y40-09,03_L,Achiral,
CN(C)C=1N=CC=CC1N(C)C(=O)C2CCOC=3C=CC(Cl)=CC23,LON-WEI-0a73fcb8-1,CVD-0007823,LON-WEI-0a73fcb8-1,Z1675823936,98.58,40,20,1181202-Y40-09,03_M,Racemic or presumed racemic or meso,
CC1=NN=C(NC(=O)C2COC=3C=CC(Cl)=CC23)N1C4CC4,JAG-UCB-47403a7c-1,CVD-0009837,JAG-UCB-c61058a9-1,Z2061183976,98.69,40,20,1181202-Y40-09,03_N,Racemic or presumed racemic or meso,
ClC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,ADA-UCB-6c2cb422-1,CVD-0007756,ADA-UCB-6c2cb422-1,Z1530724813,100.0,40,20,1181202-Y40-09,03_O,Achiral,
CC=1C=CN=CC1NC(=O)CC=2C=CC=3NC=CC3C2,VLA-UCB-00f2c2b3-1,CVD-0007572,VLA-UCB-00f2c2b3-1,Z4525579036,100.0,40,20,1181202-Y40-09,03_P,Achiral,
CN(C(=O)C1CCOC=2C=CC(Cl)=CC12)C=3C=CC(Cl)=CN3,LON-WEI-0a73fcb8-5,CVD-0007827,LON-WEI-0a73fcb8-5,Z1675685357,93.19,40,20,1181202-Y40-09,04_A,Racemic or presumed racemic or meso,
CC(C)C=1SC=NC1NC(=O)C2CCOC=3C=CC(Cl)=CC23,LON-WEI-0a73fcb8-6,CVD-0007828,LON-WEI-0a73fcb8-6,Z2158132573,100.0,40,20,1181202-Y40-09,04_B,Racemic or presumed racemic or meso,
FC=1C=CC2=NC(NC(=O)C3CCOC=4C=CC(Cl)=CC34)=NN2C1,LON-WEI-0a73fcb8-3,CVD-0007825,LON-WEI-0a73fcb8-3,Z1675799930,98.47,40,20,1181202-Y40-09,04_C,Racemic or presumed racemic or meso,
CC1=NN=C(CNC(=O)C2CCOC=3C=CC(Cl)=CC23)N1C4CC4,LON-WEI-0a73fcb8-4,CVD-0007826,LON-WEI-0a73fcb8-4,Z1677873442,100.0,40,20,1181202-Y40-09,04_D,Racemic or presumed racemic or meso,
CC1(C)CC(C(=O)NC2=NN=CN2C3CC3)C=4C=CC=CC4O1,NAU-LAT-8502cac5-5,CVD-0007780,NAU-LAT-8502cac5-5,Z2332231803,91.33,40,20,1181202-Y40-09,04_E,Racemic or presumed racemic or meso,
OCC=1C=CN=CC1NC(=O)C2CCOC=3C=CC(Cl)=CC23,LON-WEI-0a73fcb8-7,CVD-0007829,LON-WEI-0a73fcb8-7,Z1677775602,91.09,40,20,1181202-Y40-09,04_F,Racemic or presumed racemic or meso,
FC=1C=CC=C(Cl)C1CN(C(=O)CC2=CNC=3N=CC=CC23)C=4C=CC=5NC(=O)NC5C4,BEN-BAS-bb561ced-1,CVD-0005864,BEN-BAS-bb561ced-1,Z1401016802,98.77,40,20,1181202-Y40-09,04_G,Achiral,
COC=1N=CC=CC1N(C)C(=O)C2CCOC=3C=CC(Cl)=CC23,LON-WEI-0a73fcb8-2,CVD-0007824,LON-WEI-0a73fcb8-2,Z1675755947,95.19,40,20,1181202-Y40-09,04_H,Racemic or presumed racemic or meso,
