SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID,"Amount, mg (left)"
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C4=CC=CO4,MAT-POS-f2460aef-1,CVD-0013164,LON-WEI-2e27a2e5-1,Z4601777319,100.0,40,20,1220170-Y40-01,03_A,Racemic or presumed racemic or meso,imperfect stereochemical match for MAT-POS-f2460aef-1,UNK,UNK
COC=1C=CC(Cl)=CC1OCCNC(=O)C2=CC(=O)NC=3C=CC=CC23,,,ALP-POS-05819dc4-1,Z4606617266,99.0,40,20,1220170-Y40-01,03_B,Achiral,not found,UNK,UNK
COC=1C=CC=C(CCN(C(=O)C2=CC(=O)NC=3C=CC=CC23)C=4C=CC=C(Cl)C4)C1,,,ALP-POS-ddb41b15-4,Z4606609029,97.0,40,20,1220170-Y40-01,03_C,Achiral,not found,UNK,UNK
CC=1C=CC(=CC1C)N2N=CC=3C(=O)N(CC(=O)N)C=NC23,,,JAG-UCB-ef2c0e8e-4,Z2734696886,,40,20,1220170-Y40-01,03_D,Achiral,not found,UNK,UNK
ClC=1C=CC=C(CC(=O)NC=2C=CC=C3NN=CC23)C1,,,VLA-UCB-00f2c2b3-7,Z1333300352,,40,20,1220170-Y40-01,03_E,Achiral,not found,UNK,UNK
CC=1C=C2OCC(C(=O)N3CCCCC3C=4C=NNC4)C2=CC1C,,,JAG-UCB-1d922829-7,Z1718721903,,40,20,1220170-Y40-01,03_F,Diastereomeric mixture,not found,UNK,UNK
OC(CC=1C=CC=C(Cl)C1)CN2C=NC=N2,,,JAG-UCB-cedd89ab-2,Z2241012654,,40,20,1220170-Y40-01,03_G,Racemic or presumed racemic or meso,not found,UNK,UNK
CC=1C=CN=CC1NC(=O)CCC=2C=CC=C(F)C2,,,BEN-DND-93268d01-5,Z1129286049,,40,20,1220170-Y40-01,03_H,Achiral,not found,UNK,UNK
CC=1C=CN=CC1NC(=O)CN2CCCCC2,,,BEN-DND-93268d01-11,Z4281014863,,40,20,1220170-Y40-01,03_I,Achiral,not found,UNK,UNK
CC1=CC=2C(N)=NC(=O)N(CC(=O)NC=3C=CC=C(Cl)C3)C2S1,,,JAG-UCB-77729364-1,Z2735668444,,40,20,1220170-Y40-01,03_J,Achiral,not found,UNK,UNK
CC(=O)N1CCN(CC(=O)NC=2C=NC=CC2C)CC1,BEN-DND-93268d01-8,CVD-0005075,BEN-DND-93268d01-8,Z4605959408,,40,20,1220170-Y40-01,03_K,Achiral,,UNK,UNK
ClC=1C=CC=C(CC(=O)NC=2C=NC=C3CCCCC23)C1,,,EDJ-MED-a364e151-1,Z4598794268,100.0,40,20,1220170-Y40-01,03_L,Achiral,not found,UNK,UNK
CN(CC=1C=CC=C(Cl)C1)C(=O)CN2N=NC=3C=CC=CC23,,,EDJ-MED-06d94977-2,Z73319350,81.09,40,20,1220170-Y40-01,03_M,Achiral,not found,UNK,UNK
