SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID,"Amount, mg (left)"
CCS(=O)(=O)NC=1C=CC=2C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(CC5)C#N)=CN=CC2C1,MAT-POS-22373164-2,CVD-0019470,MAT-POS-22373164-2,Z5395340412,100.0,40,20,1326826-Y40-35,03_A,Racemic or presumed racemic or meso,,H3604372,29.6
CC1(CN(CC2CC2)S(=O)(=O)C=3C=CC(Cl)=CC31)C(=O)NC=4C=NC=C5C=C(C=CC45)S(=O)(=O)C,EDG-MED-b8f93667-6,CVD-0019423,EDG-MED-b8f93667-6,Z5367986391,97.63,40,20,1326826-Y40-35,03_B,Racemic or presumed racemic or meso,,H3592207,9.5
CN(C)C(=O)CN1CCC=2C=CC(Cl)=CC2C1C(=O)NC=3C=NC=C4C=CC=CC34,EDJ-MED-2791eece-7,CVD-0019200,EDJ-MED-2791eece-7,Z5278655710,91.87,40,20,1326826-Y40-35,03_C,Racemic or presumed racemic or meso,,H3570172,2.9
CNC(=O)C=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(CC5)C#N)C2C1,EDJ-MED-378a25ea-2,CVD-0018841,EDJ-MED-378a25ea-2,Z5372150752,100.0,40,20,1326826-Y40-35,03_D,Racemic or presumed racemic or meso,,H3597943,53.2
CNC(=O)CN1CC2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O,EDJ-MED-8bb691af-8,CVD-0018781,EDJ-MED-8bb691af-8,Z5207980927,99.0,40,20,1326826-Y40-35,03_E,Racemic or presumed racemic or meso,,H3591037,2.5
CC1(CN(CC2CC2)S(=O)(=O)C=3C=CC(Cl)=CC31)C(=O)NC=4C=NC=C5C=CC=CC45,MAT-POS-c88128cb-5,CVD-0019407,LUO-POS-66f38ea0-1,Z5395340426,100.0,40,20,1326826-Y40-35,03_F,Racemic or presumed racemic or meso,,H3592227,13.7
"ClC=1C=CC=2OCC[C@]3(CCCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1 |o1:8,r|",MAT-POS-e20a5dfb-1,CVD-0019889,Z4957250972,Z4957250972,100.0,40,20,1326826-Y40-35,03_G,Single unknown enantiomer,,H3011494,6.6
CN(C)CCOC=1C=CC=2C=NC=C(NC(=O)C3CN(CC=4C=CC(Cl)=CC34)S(=O)(=O)CC5(CC5)C#N)C2C1,MAT-POS-78ab8081-2,CVD-0019473,MAT-POS-78ab8081-2,Z5372150750,98.0,40,20,1326826-Y40-35,03_H,Racemic or presumed racemic or meso,,H3600024,40.5
"CNC(=O)CN1C[C@](C)(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4S1(=O)=O |o1:7,r|",LUO-POS-868e8996-1,CVD-0019637,Z5488014201,Z5488014201,95.73,40,20,1326826-Y40-35,03_I,Single unknown enantiomer,,H3609373,32.4
CC1(CNS(=O)(=O)C=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=C(Cl)C34,MAT-POS-c88128cb-15,CVD-0019417,MAT-POS-c88128cb-15,Z5367986304,98.01,40,20,1326826-Y40-35,03_J,Racemic or presumed racemic or meso,,H3587612,0.9
ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=C(Cl)C34)C2C1)S(=O)(=O)CC5(CC5)C#N,MAT-POS-b4d6b7fc-8,CVD-0019484,MAT-POS-b4d6b7fc-8,Z5372150747,100.0,40,20,1326826-Y40-35,03_K,Racemic or presumed racemic or meso,,H3609198,11.9
