SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
Cl.FC(Cl)C(=O)N1CCN(CC=2C=CC=C3C=CC=CC23)CC1,JOO-IND-6372a4f3-6,CVD-0001709,JOO-IND-637-6,Z4479175306,100.0,40.0,20.0,1178796-Y40-04,A03,Racemic or presumed racemic or meso,
Cl.FC=1C=CC(CN2CCN(CC2)C(=O)C=C)=CC1,ANT-OPE-d972fbad-1,CVD-0000185,ANT-OPE-d97-1,Z4481851942,98.41,40.0,20.0,1178796-Y40-04,B03,Achiral,
Cl.ClCC(=O)N1CCN(CC=2C=NC(=NC2)C=3C=CC=CC3)CC1,MAK-UNK-af83ef51-1,CVD-0002481,MAK-UNK-af8-1,Z4482229267,90.79,40.0,20.0,1178796-Y40-04,C03,Achiral,
CS(=O)(=O)N1CCN(C(C1)C=2C=CC=CC2)C(=O)C=C,NAU-LAT-f723e322-4,CVD-0002880,NAU-LAT-f72-4,Z4461624311,100.0,40.0,20.0,1178796-Y40-04,D03,Racemic or presumed racemic or meso,
CC(NC(=O)CCl)C=1C=C(F)C=C(Cl)C1,DAV-CRI-3edb475e-6,CVD-0000886,DAV-CRI-3ed-6,Z4461624342,100.0,40.0,20.0,1178796-Y40-04,E03,Racemic or presumed racemic or meso,
CC=1C=C(C)N=C(NC2CCN(CC2)C(=O)CCl)N1,GIA-UNK-a79af1bc-1,CVD-0001317,GIA-UNK-a79-1,Z4461624338,97.58,40.0,20.0,1178796-Y40-04,F03,Achiral,
OC(CN(CC=1C=CC=CC1)C(=O)CNC(=O)C=C)C=2C=CC=CC2,MED-COV-4280ac29-26,CVD-0002731,JUA-UNI-bc0-1_thio_pH,Z3755897420,100.0,40.0,20.0,1178796-Y40-04,G03,Racemic or presumed racemic or meso,imperfect match for MED-COV-4280ac29-26
COC(=O)[C@H](CO)NC(=O)[C@H](CC=1C=CC=CC1)NC(=O)OCC=2C=CC=CC2,FAR-UNI-a04c1544-1,CVD-0001167,FAR-UNI-a04-1,Z1669852203,90.8,40.0,20.0,1178796-Y40-04,H03,Single known enantiomer,
CCN(CC=1C=CC=C(C1)C=2C=CN=CC2)C(=O)CN3N=NC=4C=CC=CC34,AAR-POS-8a4e0f60-1,CVD-0004082,s_22____5732348____13206668,Z1260533612,96.63,40.0,20.0,1178796-Y40-04,I03,Achiral,
O=C(CC1=CNC=2N=CC=CC12)NC=3C=NC=C(C#N)C3,DAR-DIA-23aa0b97-2,CVD-0000711,DAR-DIA-23a-2,Z4444622100,100.0,40.0,20.0,1178796-Y40-04,J03,Achiral,
O=C(CC=1C=CC=NC1)NC=2C=NC=C(C#N)C2,DAR-DIA-23aa0b97-6,CVD-0000715,DAR-DIA-23a-6,Z4444621937,100.0,40.0,20.0,1178796-Y40-04,K03,Achiral,
O=C(NCC=1C=CC=NN1)NC=2C=CC=C(C2)C3=NC=C4CCCCN34,BAR-COM-4e090d3a-23,CVD-0000243,BAR-COM-4e0-23,Z2190256476,91.96,40.0,20.0,1178796-Y40-04,L03,Achiral,
OCC1(F)CCN(C1)C=2N=C(N=C3SC=4CCCC4C23)C=5C=CC=NC5,RAI-NOV-2f6a9876-7,CVD-0003152,Z2017204796,Z2017204796,100.0,40.0,20.0,1178796-Y40-04,M03,Racemic or presumed racemic or meso,imperfect match for RAI-NOV-2f6a9876-7
CN1CCN(CC1)C(=O)CNC=2C(=CC=C3C=CC=CC23)S(=O)(=O)N,JAR-KUA-672ec752-3,CVD-0001534,JAR-KUA-672-3,Z3075792052,94.01,40.0,20.0,1178796-Y40-04,N03,Achiral,
COC=1C=CC=C(CNC(=O)N2CCN(CC2)C(=O)N3CCCCC3)C1,LUI-IND-2c46affe-3,CVD-0001919,LUI-IND-2c4-3,Z402424598,100.0,40.0,20.0,1178796-Y40-04,O03,Achiral,
COC=1C=C(OC)C=C(OC=2C=CC(CNC(=O)CN3N=NC=4C=CC=CC34)=CC2)C1,AAR-POS-8a4e0f60-6,CVD-0004089,AAR-POS-8a4e0f60-6,Z2044672392,98.4,40.0,20.0,1178796-Y40-04,P03,Achiral,
CNC(=O)C=1C=CC(CS(=O)(=O)NCC(F)(F)C=2C=CC(F)=CC2F)=CC1,VIJ-CYC-1a381570-3,CVD-0003656,VIJ-CYC-1a3-3,Z4466168058,100.0,40.0,20.0,1178796-Y40-04,A04,Achiral,
