SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,LON-WEI-babf2c61-4,CVD-0006801,LON-WEI-babf2c61-4,Z4509080674,90.75,0.5,20,1178796-500NL-06,01_A,Racemic or presumed racemic or meso,,UNK
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,LON-WEI-babf2c61-4,CVD-0006801,LON-WEI-babf2c61-4,Z4509080674,90.75,0.5,20,1178796-500NL-06,01_B,Racemic or presumed racemic or meso,,UNK
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,LON-WEI-babf2c61-4,CVD-0006801,LON-WEI-babf2c61-4,Z4509080674,90.75,0.5,20,1178796-500NL-06,02_A,Racemic or presumed racemic or meso,,UNK
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,LON-WEI-babf2c61-4,CVD-0006801,LON-WEI-babf2c61-4,Z4509080674,90.75,0.5,20,1178796-500NL-06,02_B,Racemic or presumed racemic or meso,,UNK
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,LON-WEI-babf2c61-4,CVD-0006801,LON-WEI-babf2c61-4,Z4509080674,90.75,0.5,20,1178796-500NL-06,03_A,Racemic or presumed racemic or meso,,UNK
CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,LON-WEI-babf2c61-4,CVD-0006801,LON-WEI-babf2c61-4,Z4509080674,90.75,0.5,20,1178796-500NL-06,03_B,Racemic or presumed racemic or meso,,UNK
OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,LON-WEI-babf2c61-8,CVD-0006805,LON-WEI-babf2c61-8,Z4509080711,100.0,0.5,20,1178796-500NL-06,04_A,Racemic or presumed racemic or meso,,UNK
OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,LON-WEI-babf2c61-8,CVD-0006805,LON-WEI-babf2c61-8,Z4509080711,100.0,0.5,20,1178796-500NL-06,04_B,Racemic or presumed racemic or meso,,UNK
OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,LON-WEI-babf2c61-8,CVD-0006805,LON-WEI-babf2c61-8,Z4509080711,100.0,0.5,20,1178796-500NL-06,05_A,Racemic or presumed racemic or meso,,UNK
OC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,LON-WEI-babf2c61-8,CVD-0006805,LON-WEI-babf2c61-8,Z4509080711,100.0,0.5,20,1178796-500NL-06,05_B,Racemic or presumed racemic or meso,,UNK
