SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
COC=1C=C(OC)N=C(C#N)N1,,,AAR-RCN-748c104b,Z1255395776,,40,20,1178796-Y40-19,03_A,Achiral,not found,UNK
BrC=1C=NC(C#N)=NC1,,,AAR-RCN-98de6bc7,Z1201621894,,40,20,1178796-Y40-19,03_B,Achiral,not found,UNK
CC=1C=C(C)N=C(C#N)N1,,,AAR-RCN-8752a6eb,Z1255431360,,40,20,1178796-Y40-19,03_C,Achiral,not found,UNK
FC=1C=NC(C#N)=NC1,,,AAR-RCN-ec065b93,Z1255491515,,40,20,1178796-Y40-19,03_D,Achiral,not found,UNK
ClC=1C=NC(C#N)=NC1,,,AAR-RCN-934be69e,Z1198161170,,40,20,1178796-Y40-19,03_E,Achiral,not found,UNK
COC=1C=NC(C#N)=NC1,,,AAR-RCN-9c8a34f0,Z1198152365,,40,20,1178796-Y40-19,03_F,Achiral,not found,UNK
ClC=1C=CN=C(C#N)N1,,,AAR-RCN-37d0aa00,Z1198220737,,40,20,1178796-Y40-19,03_G,Achiral,not found,UNK
CC1(C)OB(OC1(C)C)C=2C=NC(C#N)=NC2,,,AAR-RCN-67438d21,Z1485340638,,40,20,1178796-Y40-19,03_H,Achiral,not found,UNK
ClC=1C=CC=C(CCN2C=CN=C2C#N)C1,,,AAR-RCN-28a8122f,Z4624777430,,40,20,1178796-Y40-19,03_I,Achiral,not found,UNK
CC(CN1C=CN=C1C#N)C=2C=CC=C(Cl)C2,,,AAR-RCN-78cf61f7,Z2168964712,,40,20,1178796-Y40-19,03_J,Racemic or presumed racemic or meso,not found,UNK
ClC=1C=CC=C(CCCN2C=CN=C2C#N)C1,,,AAR-RCN-845f9611,Z4624777477,,40,20,1178796-Y40-19,03_K,Achiral,not found,UNK
C[N+]=1C=CN(CCC=2C=CC=C(Cl)C2)C1C#N.[O-]S(=O)(=O)C(F)(F)F,,,AAR-RCN-521d1733,Z4624777480,,40,20,1178796-Y40-19,03_L,Achiral,not found,UNK
C[N+]=1C=CN(CCCC=2C=CC=C(Cl)C2)C1C#N.[O-]S(=O)(=O)C(F)(F)F,,,AAR-RCN-dbf5c5ee,Z4624777471,,40,20,1178796-Y40-19,03_M,Achiral,not found,UNK
COC=1C=C(OC)[N+](C)=C(C#N)N1.[O-]S(=O)(=O)C(F)(F)F,,,AAR-RCN-390aeb1f,Z4624777482,,40,20,1178796-Y40-19,03_N,Achiral,not found,UNK
CC=1C=C(C)[N+](C)=C(C#N)N1.[O-]S(=O)(=O)C(F)(F)F,,,AAR-RCN-9f0de475,Z4624777444,,40,20,1178796-Y40-19,03_O,Achiral,not found,UNK
O[C@@H](CN(CC=1C=CC=CC1)C(=O)CNC(=O)C=C)C2=CC=CS2,,,JUA-UNI-bc099708-1,Z4624777491,,40,20,1178796-Y40-19,03_P,Single known enantiomer,not found,UNK
CC=1NC2=C(CNC(=O)C=3C=CC(CNC(=O)C=C)=CC3)C=C(C)C=C2C1C,,,JUA-UNI-bc099708-2,Z970632906,,40,20,1178796-Y40-19,04_A,Achiral,not found,UNK
BrC=1C=CSC1CN(CCN2CCOCC2)C(=O)CNC(=O)C=C,,,JUA-UNI-bc099708-3,Z3755941138,,40,20,1178796-Y40-19,04_B,Achiral,not found,UNK
OC[C@@H](NC(=O)C=1C=CC(CNC(=O)C=C)=CC1)C=2C=CC(Br)=C(F)C2,,,JUA-UNI-bc099708-4,Z4624777450,,40,20,1178796-Y40-19,04_C,Single known enantiomer,not found,UNK
OC=1C=CC(=CC1NC(=O)C=C)C(=O)NC[C@H](CC=2C=CC=CC2)C=3C=CC=CN3,,,JUA-UNI-bc099708-5,Z4624777462,,40,20,1178796-Y40-19,04_D,Single known enantiomer,not found,UNK
OC=1C=CC=CC1CN(C[C@@H]2CCCO2)C(=O)CNC(=O)C=C,,,JUA-UNI-a9dfaed1-1,Z4624777502,,40,20,1178796-Y40-19,04_E,Single known enantiomer,not found,UNK
CC(C)(C)NS(=O)(=O)C=1C=CC=CC1CNC(=O)C=C,,,JUA-UNI-a9dfaed1-2,Z2517209813,,40,20,1178796-Y40-19,04_F,Achiral,not found,UNK
CNS(=O)(=O)C=1C=CC=CC1CNC(=O)C=C,,,JUA-UNI-a9dfaed1-3,Z3766090662,,40,20,1178796-Y40-19,04_G,Achiral,not found,UNK
O[C@]1(CN(CC=2C=CC=CC2)C(=O)CNC(=O)C=C)CN3CCC1CC3,,,JUA-UNI-a9dfaed1-4,Z4624777454,,40,20,1178796-Y40-19,04_H,Diastereomeric mixture,not found,UNK
C=CC(=O)NCCC(=O)N(CC=1C=CC=CC1)CC2=NC=3C=CC=CC3C(=O)N2,,,JUA-UNI-a9dfaed1-5,Z1478980151,,40,20,1178796-Y40-19,04_I,Achiral,not found,UNK
CN(C)CCNC(=O)[C@@H](CC=1C=CC=CC1)NC(=O)C=C,,,JUA-UNI-a9dfaed1-6,Z3707780538,,40,20,1178796-Y40-19,04_J,Single known enantiomer,not found,UNK
O[C@H](CNC(=O)C=1C=C(NC(=O)C=C)C=CC1O)C=2C=CC=3C=CC=CC3C2,,,JUA-UNI-a9dfaed1-7,Z4624777459,,40,20,1178796-Y40-19,04_K,Single known enantiomer,not found,UNK
