SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
[O-][N+](=O)C=1C=CC=CC1N2CCN(CC2)C(=O)CCl,,,AAR-POS-d2a4d1df-28,AAR-POS-d2a4d1df-28,91,40,20,1333027-Y40-01,A03,,not found,
ClCC(=O)N1CC(C=2C=CC=CC2)C=3C=CC=CC3C1,,,AAR-POS-0daf6b7e-14,AAR-POS-0daf6b7e-14,95,40,20,1333027-Y40-01,B03,,not found,
NC(=O)C=1C=CC(NC(=O)[C@@H]2CCCO2)=CC1,,,Z1545313172,Z1545313172,95,40,20,1333027-Y40-01,C03,,not found,
O=C(NCCC=1C=CN=CC1)NC2CCCCC2,,,Z111507846,Z111507846,95,40,20,1333027-Y40-01,D03,,not found,
O=C(CC1CCCCC1)NC=2C=CC=NC2,,,Z31792168,Z31792168,95,40,20,1333027-Y40-01,E03,,not found,
CC(N)C1=CN(N=N1)C=2C=CC=CC2,MAT-POS-162a9720-1,CVD-0017146,Z2527301677,Z2527301677,95,40,20,1333027-Y40-01,F03,,,
Cl.ClCC(=O)N1CCN(CC=2C=CSC2)CC1,,,LON-WEI-8f408cad-7,LON-WEI-8f408cad-7,92,40,20,1333027-Y40-01,G03,,not found,
NC(=O)C1CCN(CC1)C(=O)NC=2C=CC=CC2,,,Z33545544,Z33545544,95,40,20,1333027-Y40-01,H03,,not found,
CN1CCN(CC1)C(=O)NC=2C=CC=CC2,,,Z2856434890,Z2856434890,95,40,20,1333027-Y40-01,I03,,not found,
CN1C=CC(=N1)C(=O)NC[C@@H]2CCCO2,,,Z2643472210,Z2643472210,95,40,20,1333027-Y40-01,J03,,not found,
ClCC(=O)N1CCN(CC1)C(=O)C2=CC=CO2,,,AAR-POS-d2a4d1df-29,AAR-POS-d2a4d1df-29,90,40,20,1333027-Y40-01,K03,,not found,
FC(F)(F)C=1C=CC=C(C1)N2CCN(CC2)C(=O)CCl,MAT-POS-162a9720-2,CVD-0017147,PCM-0102239,PCM-0102239,93,40,20,1333027-Y40-01,L03,,,
CC1C(O)CCCN1CC=2C=CC=CC2,MAK-UNK-6435e6c2-9,CVD-0002233,Z2217052426,Z2217052426,95,40,20,1333027-Y40-01,M03,,,
CC=1C=CC(=CC1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,,,AAR-POS-d2a4d1df-27,AAR-POS-d2a4d1df-27,95,40,20,1333027-Y40-01,N03,,not found,
ClCC(=O)N1CCC(CC1)NC(=O)C=2C=CC=CC2,,,AAR-POS-0daf6b7e-5,AAR-POS-0daf6b7e-5,94,40,20,1333027-Y40-01,O03,,not found,
ClCC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=CC2C#N,,,AAR-POS-d2a4d1df-37,AAR-POS-d2a4d1df-37,95,40,20,1333027-Y40-01,P03,,not found,
CC(NC(=O)CCl)C=1C=CC=C(Cl)C1,,,AAR-POS-0daf6b7e-10,AAR-POS-0daf6b7e-10,95,40,20,1333027-Y40-01,A04,,not found,
CC=1C=CC(C)=C(C1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,WAR-XCH-79d12f6e-6,CVD-0003751,WAR-XCH-79d12f6e-6,WAR-XCH-79d12f6e-6,95,40,20,1333027-Y40-01,B04,,,
Cl.COC=1C=CC=C2SC(NC(=O)CCl)=NC12,,,AAR-POS-0daf6b7e-4,AAR-POS-0daf6b7e-4,95,40,20,1333027-Y40-01,C04,,not found,
BrC=1C=CC=2CC(=O)NC2C1,MAT-POS-162a9720-3,CVD-0017148,NCL-00023827,NCL-00023827,95,40,20,1333027-Y40-01,D04,,,
Cl.FC=1C=CC(=CC1)N2CCN(CC2)C(=O)CCl,MAT-POS-162a9720-4,CVD-0017149,PCM-0102905,PCM-0102905,95,40,20,1333027-Y40-01,E04,,,
COC=1C=CC(=CC1)N2CCN(CC2)C(=O)CCl,,,AAR-POS-0daf6b7e-18,AAR-POS-0daf6b7e-18,95,40,20,1333027-Y40-01,F04,,not found,
OCC1CN(CC=2C=CC=CC2)CCO1,,,Z1259086950,Z1259086950,95,40,20,1333027-Y40-01,G04,,not found,
[O-][N+](=O)C=1C=CC(=CC1)N2CCN(CC2)C(=O)CCl,MAT-POS-162a9720-5,CVD-0017150,PCM-0102094,PCM-0102094,95,40,20,1333027-Y40-01,H04,,,
ClCC(=O)NC=1C=CC=NC1Cl,,,AAR-POS-0daf6b7e-20,AAR-POS-0daf6b7e-20,95,40,20,1333027-Y40-01,I04,,not found,
CC(=O)NCC=1C=CC(=CC1)S(=O)(=O)N,,,Z30932204,Z30932204,95,40,20,1333027-Y40-01,J04,,not found,
CC(=O)NC=1C=CC(OC=2N=CC=CN2)=CC1,,,Z54571979,Z54571979,95,40,20,1333027-Y40-01,K04,,not found,
ClCC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=C(Cl)S2,,,AAR-POS-0daf6b7e-15,AAR-POS-0daf6b7e-15,95,40,20,1333027-Y40-01,L04,,not found,
CCNC=1C=CC(C#N)=CN1,,,Z219104216,Z219104216,95,40,20,1333027-Y40-01,M04,,not found,
FC=1C=CC(=CC1)N(C2CS(=O)(=O)C=C2)C(=O)CCl,,,AAR-POS-0daf6b7e-8,AAR-POS-0daf6b7e-8,95,40,20,1333027-Y40-01,N04,,not found,
CS(=O)(=O)CC1=NC=2C=CC=CC2N1,,,Z126932614,Z126932614,95,40,20,1333027-Y40-01,O04,,not found,
CC=1C=CC(=CC1)N(C2CS(=O)(=O)C=C2)C(=O)CCl,,,AAR-POS-0daf6b7e-7,AAR-POS-0daf6b7e-7,95,40,20,1333027-Y40-01,P04,,not found,
FC=1C=CC=CC1S(=O)(=O)N2CCN(CC2)C(=O)CCl,,,AAR-POS-d2a4d1df-34,AAR-POS-d2a4d1df-34,95,40,20,1333027-Y40-01,A05,,not found,
CC=1C=C(F)C=CC1CS(=O)(=O)N,,,Z1849009686,Z1849009686,95,40,20,1333027-Y40-01,B05,,not found,
CC(=O)N1CCN(CC1)C(=O)CCl,,,AAR-POS-0daf6b7e-21,AAR-POS-0daf6b7e-21,95,40,20,1333027-Y40-01,C05,,not found,
ClCC(=O)N1CCN(CC1)C(=O)C2=CC=CS2,,,AAR-POS-0daf6b7e-16,AAR-POS-0daf6b7e-16,91,40,20,1333027-Y40-01,D05,,not found,
FC=1C=CC=C(F)C1S(=O)(=O)N2CCN(CC2)C(=O)CCl,,,LON-WEI-8f408cad-2,LON-WEI-8f408cad-2,95,40,20,1333027-Y40-01,E05,,not found,
ClCC(=O)NCC=1C=CC=2OCOC2C1,,,AAR-POS-d2a4d1df-31,AAR-POS-d2a4d1df-31,95,40,20,1333027-Y40-01,F05,,not found,
Cl.ClCC(=O)N1CCN(CC=2C=CC=C3C=CC=CC23)CC1,,,MED-COV-4280ac29-31,MED-COV-4280ac29-31,95,40,20,1333027-Y40-01,G05,,not found,
