SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID,"Amount, mg (left)"
CN1N=CC(=N1)S(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,MAT-POS-4223bc15-31,CVD-0016924,MAT-POS-4223bc15-31,Z4973388958,97.85,40,20,1178796-Y40-53,03_A,Racemic or presumed racemic or meso,,H3082785,UNK
OC=1C=NC=2C=CC=CC2C1NC(=O)CC=3C=CC=C(Cl)C3,JIN-POS-6dc588a4-21,CVD-0016571,JIN-POS-6dc588a4-21,Z4951847509,100.0,40,20,1178796-Y40-53,03_B,Achiral,,H3092154,UNK
CC(C)(C)OC(=O)NC(CCO)CNCC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,MAT-POS-61f37a1a-1,CVD-0017252,KAD-UNI-cb0f2bbc-10,Z4984330302,97.7,40,20,1178796-Y40-53,03_C,Diastereomeric mixture,,H3089909,UNK
ClC=1C=CC=2CN(CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1)S(=O)(=O)CC5(CCC5)C#N,MAT-POS-4223bc15-12,CVD-0016907,MAT-POS-4223bc15-12,Z4973388929,100.0,40,20,1178796-Y40-53,03_D,Racemic or presumed racemic or meso,,H3086571,UNK
CC1CCN(C1)S(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,MAT-POS-4223bc15-11,CVD-0016906,MAT-POS-4223bc15-11,Z4973388925,100.0,40,20,1178796-Y40-53,03_E,Diastereomeric mixture,,H3086624,UNK
CNS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-4223bc15-1,CVD-0016896,MAT-POS-4223bc15-1,Z4973388852,100.0,40,20,1178796-Y40-53,03_F,Racemic or presumed racemic or meso,,H3086623,UNK
CC=1C=CC=C2C=NC=C(NC(=O)CC=3C=CC=C(Cl)C3)C12,MIC-UNK-50cce87d-3,CVD-0013968,MIC-UNK-50cce87d-3,Z4951847514,96.72,40,20,1178796-Y40-53,03_G,Achiral,,H3091687,UNK
COCCS(=O)(=O)N1CC(C(=O)NC=2C=NC=C3C=CC=CC23)C=4C=C(Cl)C=CC4C1,MAT-POS-4223bc15-4,CVD-0016899,MAT-POS-4223bc15-4,Z4973388879,93.9,40,20,1178796-Y40-53,03_H,Racemic or presumed racemic or meso,,H3086569,UNK
CS(=O)(=O)NCC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,MAT-POS-e6dd326d-4,CVD-0016876,MAT-POS-e6dd326d-4,Z4973373661,100.0,40,20,1178796-Y40-53,03_I,Racemic or presumed racemic or meso,,H3090013,UNK
CC(=O)NCC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,MAT-POS-e6dd326d-9,CVD-0016881,MAT-POS-e6dd326d-9,Z4973373641,100.0,40,20,1178796-Y40-53,03_J,Racemic or presumed racemic or meso,,H3090011,UNK
