SMILES,external_ID,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,CID
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2N=CSC2C1)C=3C=CC=NC3,LON-WEI-b8d-31,Z4439011608,Z4439011608,394.48,100.0,40,10.0,1169103-Y40-01,A03,,LON-WEI-b8d98729-31
CC(C)C=1C=CC(=CN1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,LON-WEI-b8d-32,Z4439011614,Z4439011614,380.48,81.29,40,10.0,1169103-Y40-01,B03,,LON-WEI-b8d98729-32
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=C(C)C1,LON-WEI-b8d-1,Z4438424252,Z4438424252,458.53,100.0,40,10.0,1169103-Y40-01,C03,,LON-WEI-b8d98729-1
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=CC1,LON-WEI-b8d-27,Z4439011539,Z4439011539,455.42,100.0,40,10.0,1169103-Y40-01,D03,,LON-WEI-b8d98729-27
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3,LON-WEI-b8d-2,Z4439011579,Z4439011579,445.57,82.98,40,10.0,1169103-Y40-01,E03,,LON-WEI-b8d98729-2
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-33,Z4438424288,Z4438424288,461.98,90.91,40,10.0,1169103-Y40-01,F03,,LON-WEI-b8d98729-33
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=C(C)C1,LON-WEI-b8d-37,Z4438424251,Z4438424251,469.45,95.38,40,10.0,1169103-Y40-01,G03,,LON-WEI-b8d98729-37
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)C1,LON-WEI-b8d-38,Z4438424262,Z4438424262,442.53,92.91,40,10.0,1169103-Y40-01,H03,,LON-WEI-b8d98729-38
CS(=O)(=O)CC1=CC=C(O1)C(=O)NC=2C=CC=NC2,ANT-DIA-3c7-4,ANT-DIA-3c7-4,Z995832158,280.29,100.0,40,10.0,1169103-Y40-01,I03,,ANT-DIA-3c79be55-4
ClC1=CC=C(CC(=O)NC=2C=CC=NC2)S1,DAR-DIA-842-13,DAR-DIA-842-13,Z2010253653,252.71,100.0,40,10.0,1169103-Y40-01,J03,,DAR-DIA-842b4336-13
ClC=1C=CN=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,TRY-UNI-1fd-9,TRY-UNI-1fd-9,Z1575152133,300.74,100.0,40,10.0,1169103-Y40-01,K03,,TRY-UNI-1fd04853-9
O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CC3,TRY-UNI-1fd-8,TRY-UNI-1fd-8,Z1400838206,290.31,100.0,40,10.0,1169103-Y40-01,L03,,TRY-UNI-1fd04853-8
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,TRY-UNI-714-6,TRY-UNI-714-6,Z1129289650,260.71,100.0,40,10.0,1169103-Y40-01,M03,,TRY-UNI-714a760b-6
ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=CC1,TRY-UNI-1fd-7,TRY-UNI-1fd-7,Z1400780364,299.75,100.0,40,10.0,1169103-Y40-01,N03,,TRY-UNI-1fd04853-7
ClC=1C=CC=C(NC(=O)CC2=CNC=3N=CC=CC23)C1,DAR-DIA-23a-12,DAR-DIA-23a-12,Z1400781098,285.72,97.6,40,10.0,1169103-Y40-01,O03,,DAR-DIA-23aa0b97-12
CC(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,TRY-UNI-714-18,TRY-UNI-714-18,Z1264525706,274.74,96.64,40,10.0,1169103-Y40-01,P03,,TRY-UNI-714a760b-18
ClC=1C=CC=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,TRY-UNI-1fd-5,TRY-UNI-1fd-5,Z1400783129,299.75,95.0,40,10.0,1169103-Y40-01,A04,,TRY-UNI-1fd04853-5
CC(=O)N1CCN(CC=2C=CC=C(C#N)C2)CC1,PAT-UNK-b2d-1,PAT-UNK-b2d-1,Z46180946,243.3,97.0,40,10.0,1169103-Y40-01,B04,,PAT-UNK-b2d83456-1
O=C(NC=1C=CC=NC1)NC=2C=CC=C(C#N)C2,ANN-UNI-263-4,WAR-XCH-eb7-1,Z195739680,238.24,100.0,40,10.0,1169103-Y40-01,C04,,ANN-UNI-26382800-4
O=C(NC=1C=CC(C#N)=CC1)NC=2C=CC=NC2,ANN-UNI-263-3,ANN-UNI-263-3,Z195735586,238.24,98.17,40,10.0,1169103-Y40-01,D04,,ANN-UNI-26382800-3
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=NC2,CHR-SOS-709-11,CHR-SOS-709-11,Z280470232,248.66,100.0,40,10.0,1169103-Y40-01,E04,,CHR-SOS-7098f804-11
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2,CHR-SOS-709-7,CHR-SOS-709-7,Z56871780,247.67,90.16,40,10.0,1169103-Y40-01,F04,,CHR-SOS-7098f804-7
CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=C(F)C2,MAK-UNK-643-5,MAK-UNK-643-5,Z30722976,286.32,100.0,40,10.0,1169103-Y40-01,G04,,MAK-UNK-6435e6c2-5
CS(=O)(=O)NC=1C=CC=C(C1)C(=O)NC=2C=CC=C(C2)N3CCCC3=O,MAK-UNK-915-6,MAK-UNK-915-6,Z102622686,373.42,97.29,40,10.0,1169103-Y40-01,H04,,MAK-UNK-9159f8ed-6
ClC=1C=CC=C(C1)C(=O)NC=2C=CC=NC2,CHR-SOS-709-12,CHR-SOS-709-12,Z31791487,232.66,91.0,40,10.0,1169103-Y40-01,I04,,CHR-SOS-7098f804-12
CC(C(=O)O)C=1C=CC2=C(C1)NC=3C=CC(Cl)=CC32,AAR-POS-fca48359-19,GER-UNI-ec7-1,Z1530425063,273.71,100.0,40,10.0,1169103-Y40-01,J04,,AAR-POS-fca48359-19
CCCNC(=O)C(C)NC(=O)N(C)CC1=CSC(C)=N1,ALE-UNK-fca-9,ALE-UNK-fca-9,Z900735246,298.4,95.48,40,10.0,1169103-Y40-01,K04,,ALE-UNK-fca05062-9
O=C(C=CC=CC=1C=CC=2OCOC2C1)N3CCCCC3,LON-WEI-8f4-11,Piperine,Z104476830,285.33,100.0,40,10.0,1169103-Y40-01,L04,,LON-WEI-8f408cad-11
COC=1C=CC=2NC=C(CCNS(=O)(=O)C)C2C1,MAR-UNI-9ca-1,MAR-UNI-9ca-1,Z1316790959,268.33,100.0,40,10.0,1169103-Y40-01,M04,,MAR-UNI-9ca61fdc-1
CC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,ÁLV-UNI-7ff-45,LV-UNI-7ff-45,Z71390073,276.33,96.93,40,10.0,1169103-Y40-01,N04,,ALV-UNI-7ff1a6f9-45
CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,MAK-UNK-643-1,MAK-UNK-643-1,Z29501928,274.35,92.56,40,10.0,1169103-Y40-01,O04,,MAK-UNK-6435e6c2-1
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,AAR-POS-0daf6b7e-19,VIR-GIT-7b3-3,Z561717446,260.76,96.19,40,10.0,1169103-Y40-01,P04,,AAR-POS-0daf6b7e-19
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2Cl,CHR-SOS-709-4,CHR-SOS-709-4,Z241957544,282.12,100.0,40,10.0,1169103-Y40-01,A05,,CHR-SOS-7098f804-4
ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2,AAR-POS-0daf6b7e-9,VIR-GIT-7b3-2,Z291278798,272.77,97.83,40,10.0,1169103-Y40-01,B05,,AAR-POS-0daf6b7e-9
CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)OCC3=CN=CS3)CC=4C=CC=CC4,ALE-UNK-fca-2,RITONAVIR,Z1521553599,720.94,95.0,40,10.0,1169103-Y40-01,C05,,ALE-UNK-fca05062-2
CNS(=O)(=O)CC=1C=CC=2NC=C(CCN(C)C)C2C1.OC(=O)CCC(=O)O,ANT-OPE-47f-1,TOM-OIS-cbf-2,Z1544404947,413.48,95.0,40,10.0,1169103-Y40-01,D05,,ANT-OPE-47f3bb65-1
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)COC=3C(C)=CC=CC3C)CC=4C=CC=CC4,ALE-UNK-fca-1,LOPINAVIR,Z2235801862,628.8,95.0,40,10.0,1169103-Y40-01,E05,,ALE-UNK-fca05062-1
COC=1C=CC=2NC=C(CCNC(=O)C)C2C1,ALE-ACE-261-1,JOH-MSK-35a-1,Z1191880499,232.27,95.0,40,10.0,1169103-Y40-01,F05,,ALE-ACE-2610ee4d-1
CC=1C=CC(=CC1)C2=CC(=NN2C=3C=CC(=CC3)S(=O)(=O)N)C(F)(F)F,GER-UNI-05c-1,GER-UNI-05c-1,Z1258938406,381.37,100.0,40,10.0,1169103-Y40-01,G05,,GER-UNI-05c7e912-1
CCC(=O)O[C@@H](OP(=O)(CCCCC=1C=CC=CC1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3)C(C)C,LON-WEI-b8d-5,Z1515385090,Z3207130728,563.66,100.0,40,10.0,1169103-Y40-01,H05,,LON-WEI-b8d98729-5
CCC(=O)NCC[C@@H]1CCC=2C=CC=3OCCC3C12,JOH-MSK-ec6-2,JOH-MSK-ec6-2,Z2037281108,259.34,100.0,40,10.0,1169103-Y40-01,I05,,JOH-MSK-ec639444-2
O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CN3,TRY-UNI-1fd-12,TRY-UNI-1fd-12,Z1767447079,291.3,100.0,40,10.0,1169103-Y40-01,J05,,TRY-UNI-1fd04853-12
ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=NC1,TRY-UNI-1fd-11,TRY-UNI-1fd-11,Z1593808911,300.74,100.0,40,10.0,1169103-Y40-01,K05,,TRY-UNI-1fd04853-11
O=C(CC1=CNC=2N=CC=CC12)NC=3C=CC=C(C#N)C3,DAR-DIA-23a-1,DAR-DIA-23a-1,Z1400784309,276.29,100.0,40,10.0,1169103-Y40-01,L05,,DAR-DIA-23aa0b97-1
Cl.CC(=O)N1CCN(CC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)CC1,JAN-GHE-1d9-7,JAN-GHE-1d9-7,Z102844650,376.85,,40,10.0,1169103-Y40-01,M05,,JAN-GHE-1d98ec1c-7
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3,LON-WEI-b8d-39,Z4439011578,Z4439011578,467.48,100.0,40,10.0,1169103-Y40-01,N05,,LON-WEI-b8d98729-39
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-35,Z4439011564,Z4439011564,506.43,83.38,40,10.0,1169103-Y40-01,O05,,LON-WEI-b8d98729-35
CSC=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,LON-WEI-b8d-6,Z4439011605,Z4439011605,383.5,100.0,40,10.0,1169103-Y40-01,P05,,LON-WEI-b8d98729-6
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=C(C)C1,LON-WEI-b8d-40,Z4438424250,Z4438424250,447.54,95.45,40,10.0,1169103-Y40-01,A06,,LON-WEI-b8d98729-40
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)S(F)(F)(F)(F)F)C=2C=CC=NC2,LON-WEI-b8d-7,Z4439011611,Z4439011611,463.46,82.44,40,10.0,1169103-Y40-01,B06,,LON-WEI-b8d98729-7
ClC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,LON-WEI-b8d-44,Z4438424283,Z4438424283,448.92,95.87,40,10.0,1169103-Y40-01,C06,,LON-WEI-b8d98729-44
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3,LON-WEI-b8d-42,Z4439011586,Z4439011586,456.57,83.25,40,10.0,1169103-Y40-01,D06,,LON-WEI-b8d98729-42
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3,LON-WEI-b8d-45,Z4439011587,Z4439011587,457.56,91.75,40,10.0,1169103-Y40-01,E06,,LON-WEI-b8d98729-45
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(OC)=CC2C)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d-8,Z4438424255,Z4438424255,459.53,92.79,40,10.0,1169103-Y40-01,F06,,LON-WEI-b8d98729-8
