PDB_ID,LINK,SMILES,Disease
6LZE,https://www.rcsb.org/structure/6LZE,O=C(N[C@@H](CC1CCCCC1)C(N[C@@H](C[C@H](CCN2)C2=O)C=O)=O)C3=CC4=CC=CC=C4N3,SARS-COV-2
6M0K,https://www.rcsb.org/structure/6M0K,O=C(N[C@@H](CC1=CC(F)=CC=C1)C(N[C@@H](C[C@H](CCN2)C2=O)C=O)=O)C3=CC4=CC=CC=C4N3,SARS-COV-2
6M2N,https://www.rcsb.org/structure/6M2N,O=C1C=C(C2=CC=CC=C2)OC3=CC(O)=C(O)C(O)=C31,SARS-COV-2
6Y2G,https://www.rcsb.org/structure/6Y2G,O=C(NC1=CC=CN([C@@H](CC2CC2)C(N[C@@H](C[C@H](CCN3)C3=O)C(C(NCC4=CC=CC=C4)=O)=O)=O)C1=O)OC(C)(C)C,SARS-COV-2
6Y2F,https://www.rcsb.org/structure/6Y2F,O=C(NC1=CC=CN([C@@H](CC2CC2)C(N[C@@H](C[C@H](CCN3)C3=O)C(C(NCC4=CC=CC=C4)=O)=O)=O)C1=O)OC(C)(C)C,SARS-COV-2
6WNP,https://www.rcsb.org/structure/6WNP,O=C(N3[C@H](C(=O)NC(C(=O)C(=O)N)CC1CCC1)[C@H]2C(C)([C@H]2C3)C)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C,SARS-COV-2
7BUY,https://www.rcsb.org/structure/7BUY,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,SARS-COV-2
6YT8,https://www.rcsb.org/structure/6YT8,c1cc[n+]2c(c1)S[Zn-2]3(O2)O[n+]4ccccc4S3,SARS-COV-2
6W63,https://www.rcsb.org/structure/6W63,O=C(C1=CNC=N1)N(C2=CC=C(C(C)(C)C)C=C2)[C@H](C3=CC=CN=C3)C(NC4CCCCC4)=O,SARS-COV-2
6LU7,https://www.rcsb.org/structure/6LU7,CC(C)C[C@@H](C(N[C@H](C[C@@H]1C(NCC1)=O)/C=C\C(OCC2=CC=CC=C2)=O)=O)NC([C@H](C(C)C)NC([C@H](C)NC(C3=NOC(C)=C3)=O)=O)=O,SARS-COV-2
