CDD_ID,registration_SMILES,batch_number,batch_ID,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (±),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50
CVD-0020159,Clc1ccc2c(c1)C1(CCN(C1=O)c1cncc3ccccc13)CN(CC(=O)NCC1CC1)S2(=O)=O,1,LUO-POS-e1dab717-12,ClC=1C=CC2=C(C1)C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)CN(CC(=O)NCC6CC6)S2(=O)=O,O=C(CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O)NCC1CC1,shipment_SMILES,0.203,0.203,,1,6.7
CVD-0020158,CCNC(=O)CN1CC2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,1,LUO-POS-e1dab717-11,CCNC(=O)CN1CC2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5S1(=O)=O,CCNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,shipment_SMILES,0.275,0.275,,1,6.6
CVD-0020155,CNC(=O)C1(CC1)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccc(OCCN(C)C)cc23)C1,1,LUO-POS-e1dab717-7,CNC(=O)C1(CC1)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC(OCCN(C)C)=CC56)C2,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN(C)C)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
CVD-0020128,CNC(=O)C1(CC1)N1C[C@@]2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1,MAT-POS-e48723dc-2,"CNC(=O)C1(CC1)N2C[C@@]3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C=6C=C(Cl)C=CC6C2=O |o1:9,r|",CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1 |o1:7|,shipment_SMILES,< 0.0500,< 0.0500,,1,> 7.3
CVD-0020127,CNC(=O)C1(CC1)N1C[C@]2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1,MAT-POS-e48723dc-1,"CNC(=O)C1(CC1)N2C[C@]3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C=6C=C(Cl)C=CC6C2=O |o1:9,r|",CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1 |o1:7|,shipment_SMILES,55.5,55.5,,1,4.3
CVD-0020073,CN(C)CCOc1ccc2cncc(N3CC[C@]4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,LUO-POS-8484f2d3-2,"CN(C)CCOC=1C=CC=2C=NC=C(N3CC[C@]4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1 |o1:17,r|",CN(C)CCOc1ccc2cncc(N3CC[C@]4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1 |o1:17|,shipment_SMILES,,,,,
CVD-0020072,CN(C)CCOc1ccc2cncc(N3CC[C@@]4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,LUO-POS-8484f2d3-1,"CN(C)CCOC=1C=CC=2C=NC=C(N3CC[C@@]4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1 |o1:17,r|",CN(C)CCOc1ccc2cncc(N3CC[C@@]4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1 |o1:17|,shipment_SMILES,,,,,
CVD-0020069,CNC(=O)CN1C[C@@]2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1,LUO-POS-9931618f-2,"CNC(=O)CN1C[C@@]2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|","CNC(=O)CN1C[C@@]2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|",shipment_SMILES,,0.0528,,1,7.3
CVD-0020054,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccc(OCCN5CCOCC5)cc34)c2c1)S(=O)(=O)CC1(CC1)C#N,1,EDJ-MED-468565e0-2,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN6CCOCC6)=CC45)C2C1)S(=O)(=O)CC7(CC7)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCOCC6)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
CVD-0020053,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccc(OCCN5CCCC5)cc34)c2c1)S(=O)(=O)CC1(CC1)C#N,1,EDJ-MED-468565e0-1,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN6CCCC6)=CC45)C2C1)S(=O)(=O)CC7(CC7)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCCC6)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
